Service Name,time_diff_edit,Incident Date,Year,Full Address,Fire Incident Type,lat,long
Belle Plaine Fire Department,7,8/21/05,2005,1512 4TH AVE,Building fire,41.9000429,-92.283665
Belle Plaine Fire Department,7,10/22/05,2005,1306 10TH AVE Apt 1,Building fire,41.8975754,-92.2733082
Belle Plaine Fire Department,6,1/15/13,2013,1512 6th AVE,Building fire,41.899939,-92.280314
Belle Plaine Fire Department,18,8/3/13,2013,3890 w,Building fire,41.8774077,-92.3411753
Belle Plaine Fire Department,6,10/9/13,2013,807 13 ST,Building fire,41.896834,-92.276092
Belle Plaine Fire Department,3,10/20/13,2013,1403 6th AVE,Building fire,41.898381,-92.279396
Belle Plaine Fire Department,5,11/16/13,2013,1606 7th AVE,Building fire,41.901304,-92.279133
Belle Plaine Fire Department,4,12/21/13,2013,701 8th AVE,Building fire,41.891343,-92.276075
Belle Plaine Fire Department,15,1/26/14,2014,7629 16th AVE,Building fire,41.916929,-92.186128
Belle Plaine Fire Department,12,2/9/14,2014,7772 13th ave dr AVE,Building fire,41.8955529,-92.2757404
Belle Plaine Fire Department,23,2/25/14,2014,3069 390th ST,Building fire,41.8614515,-92.3274384
Belle Plaine Fire Department,11,5/25/14,2014,104 maple ST,Building fire,41.90497,-92.180361
Belle Plaine Fire Department,4,9/20/14,2014,603 13th ST,Building fire,41.8970537,-92.2795234
Belle Plaine Fire Department,6,11/12/14,2014,506 17th STS,"Chimney or flue fire, confined to chimney or flue",41.90233,-92.280755
Blairstown Fire Department,17,3/21/07,2007,7526 17th AVE,Building fire,41.93172,-92.1615319
Blairstown Fire Department,12,4/5/07,2007,7957 22nd AVDR,Building fire,41.8773397,-92.0646162
Blairstown Fire Department,6,1/25/08,2008,506 Prospect ST,Building fire,41.907153,-92.076735
Blairstown Fire Department,8,4/15/09,2009,7837 16th AVTR,Building fire,41.887124,-92.1652039
Blairstown Fire Department,4,9/30/10,2010,303 SE charles ST Apt 14,"Cooking fire, confined to container",41.9043445,-92.0826002
Blairstown Fire Department,5,1/31/11,2011,300 locust ST Apt 1,Building fire,41.908876,-92.084087
Blairstown Fire Department,5,8/13/11,2011,604 Locust ST NE,Building fire,41.9109501,-92.084433
Blairstown Fire Department,13,2/3/12,2012,2482 77th STS,Building fire,41.9062539,-92.0456069
Blairstown Fire Department,3,4/24/12,2012,308 fremont ST SE,"Cooking fire, confined to container",41.906004,-92.080051
Blairstown Fire Department,4,3/3/13,2013,109 Spruce ST,"Cooking fire, confined to container",41.9093221,-92.0861229
Blairstown Fire Department,5,8/18/13,2013,and The Apartment above the Bent Bucket corner bar.,Building fire,41.9086563,-92.0845119
Blairstown Fire Department,15,10/19/13,2013,7833 19th AVE,Building fire,41.883786,-92.126946
Blairstown Fire Department,7,11/14/13,2013,207 NE Prospect,Building fire,41.907825,-92.0817919
Blairstown Fire Department,15,4/9/14,2014,1695 78th ST,Building fire,41.891555,-92.1632565
Blairstown Fire Department,11,11/1/14,2014,1671 77 ST,"Trash or rubbish fire, contained",41.9060702,-92.1614626
Garrison Fire Department,4,1/27/04,2004,102 S Sycamore ST,Building fire,42.144128,-92.1437841
Garrison Fire Department,4,10/15/04,2004,310 W Main ST,Building fire,42.1442156,-92.1462738
Garrison Fire Department,5,12/13/04,2004,301 Walnut ST,Building fire,42.1422083,-92.1401521
Garrison Fire Department,3,12/27/04,2004,302 E Oak ST,Building fire,42.1432075,-92.1413048
Garrison Fire Department,6,12/23/06,2006,6039 19 AVE,Building fire,42.1469605,-92.1242103
Garrison Fire Department,5,2/5/07,2007,207 E Oak ST,Building fire,42.1431915,-92.1424648
Garrison Fire Department,6,8/23/07,2007,1656 64 ST,Fires in structure other than in a building,42.094175,-92.1722395
Garrison Fire Department,3,11/6/07,2007,404 W Maple ST,Building fire,42.1451574,-92.1473877
Garrison Fire Department,8,1/18/09,2009,56 ST,Building fire,42.2106619,-92.1923994
Garrison Fire Department,10,4/6/10,2010,2011 60 ST. Dr.,Building fire,42.1484918,-92.1068305
Garrison Fire Department,12,11/25/10,2010,64 ST,Building fire,42.0941089,-92.1439282
Garrison Fire Department,1,4/2/11,2011,5978 17th Avenue,Building fire,42.1551454,-92.1627819
Garrison Fire Department,2,6/30/11,2011,404 W Maple Street,Building fire,42.1451574,-92.1473877
Garrison Fire Department,5,6/30/11,2011,206 Beach Avenue,Building fire,42.1441612,-92.1437942
Garrison Fire Department,10,7/12/11,2011,301 Cedar Street,Building fire,42.1412812,-92.1411665
Garrison Fire Department,5,5/25/12,2012,302 E Oak ST,Building fire,42.1432075,-92.1413048
Garrison Fire Department,5,8/3/12,2012,1671 58th ST,Building fire,42.1810064,-92.1674606
Garrison Fire Department,4,2/28/13,2013,307 Pine ST,Building fire,42.1422282,-92.1412689
Garrison Fire Department,7,5/6/14,2014,203 Oak St.,Building fire,42.143192,-92.142513
Garrison Fire Department,13,6/27/14,2014,1547 61st ST,Building fire,42.1377107,-92.1927184
Keystone Fire Department,12,10/5/12,2012,6682 16th Ave.,Building fire,42.053905,-92.182056
Keystone Fire Department,14,10/29/14,2014,1265 65th street,Building fire,42.0799812,-92.2330788
Keystone Fire Department,8,11/2/14,2014,1521 68th street,Building fire,42.037283,-92.1975159
Keystone Fire Department,13,11/30/14,2014,1521 68th street,Building fire,42.037283,-92.1975159
Mount Auburn Fire Department,10,4/10/06,2006,1412 53rd Street,Building fire,42.2540557,-92.161827
Mount Auburn Fire Department,16,9/9/06,2006,1670 52nd Street,Building fire,42.2684528,-92.1504217
Mount Auburn Fire Department,1,10/31/06,2006,City,Fires in structure other than in a building,42.2566856,-92.0928678
Newhall Fire Department,12,5/1/04,2004,2409 73rd ST,Building fire,41.9636676,-92.0118071
Newhall Fire Department,9,5/2/04,2004,2409 73rd ST,Building fire,41.9636676,-92.0118071
Newhall Fire Department,10,5/1/05,2005,6719 25th AVE,Building fire,42.0307164,-92.0097945
Newhall Fire Department,9,5/29/05,2005,2631 69th ST,Building fire,42.025151,-91.983071
Newhall Fire Department,7,5/29/05,2005,2631 69th ST,Building fire,42.025151,-91.983071
Newhall Fire Department,16,8/18/05,2005,6627 26th AVE,Building fire,42.0360657,-91.9904996
Newhall Fire Department,7,1/11/07,2007,102 1st ST E,Building fire,41.994505,-91.9700792
Newhall Fire Department,8,3/27/07,2007,2460 70th ST,Building fire,42.006722,-92.016774
Newhall Fire Department,12,2/10/08,2008,6774 24th ave,Building fire,42.0214022,-92.0292352
Newhall Fire Department,5,10/17/08,2008,404 3rd St E,Building fire,41.9927319,-91.963945
Newhall Fire Department,4,2/20/09,2009,102 railroad st,"Fuel burner/boiler malfunction, fire confined",41.996096,-91.969282
Newhall Fire Department,11,5/3/09,2009,2873 70th St,Building fire,42.0069009,-91.9375278
Newhall Fire Department,13,6/10/09,2009,6627 26th Ave,"Trash or rubbish fire, contained",42.0360657,-91.9904996
Newhall Fire Department,7,8/17/09,2009,506 2nd Street East,Building fire,41.99373,-91.9624599
Newhall Fire Department,9,12/13/10,2010,6767 27th Ave,Building fire,42.041587,-91.975781
Newhall Fire Department,16,7/27/11,2011,7281 26th Ave,Building fire,41.966223,-91.989399
Newhall Fire Department,7,11/17/11,2011,Ave and St,Building fire,41.9955551,-91.9676815
Newhall Fire Department,9,10/12/12,2012,2581 71st ST,Building fire,41.9925779,-91.9933408
Newhall Fire Department,13,5/8/13,2013,7372 26th ave,Building fire,41.953195,-91.987719
Newhall Fire Department,10,10/20/14,2014,6624 27th AVE,"Fuel burner/boiler malfunction, fire confined",42.0501581,-91.9709312
Norway Fire & Rescue,13,11/30/04,2004,3260 75TH ST,Building fire,41.930651,-91.857192
Norway Fire & Rescue,11,4/6/05,2005,2632 75TH ST,Building fire,41.934126,-91.979956
Norway Fire & Rescue,18,3/13/07,2007,31 AVE,Building fire,41.8761729,-91.8898272
Norway Fire & Rescue,8,11/27/08,2008,105 T AVE,Building fire,41.8523935,-91.928152
Norway Fire & Rescue,14,2/23/09,2009,28TH AVE,Building fire,41.8965981,-91.9487404
Norway Fire & Rescue,8,6/30/10,2010,3190 77TH STREET TRL,Building fire,41.900519,-91.872944
Norway Fire & Rescue,1,10/17/11,2011,105 Railroad ST,Building fire,41.9024777,-91.9215452
Norway Fire & Rescue,9,1/8/12,2012,2 Liberty ST,Building fire,41.8913663,-91.9849154
Norway Fire & Rescue,4,6/3/12,2012,3074 75th ST,Building fire,41.931404,-91.895221
Shellsburg Fire Department,6,3/22/04,2004,and NW 61 ST LANE RD,Building fire,42.1386088,-91.8773574
Shellsburg Fire Department,0,10/22/04,2004,6676 S 32ND AVE. AVE S,Fire in mobile home used as fixed residence,42.0945385,-91.8693231
Shellsburg Fire Department,10,9/5/05,2005,6505 32nd AVE,Building fire,42.07649,-91.871439
Shellsburg Fire Department,6,11/2/05,2005,217 Maxwell DR,Building fire,42.088302,-91.87391
Shellsburg Fire Department,5,1/2/06,2006,6594 32nd AVE,Building fire,42.0665885,-91.8690765
Shellsburg Fire Department,18,2/24/07,2007,6155 Pearl Street ST SE,Building fire,42.0945385,-91.8693231
Shellsburg Fire Department,4,3/16/08,2008,401 Canton ST,Fires in structure other than in a building,42.098912,-91.872787
Shellsburg Fire Department,10,4/12/09,2009,6019 30th ave DR,Fires in structure other than in a building,42.0915504,-91.9125427
Shellsburg Fire Department,16,11/6/09,2009,3341 59th street TRL,Building fire,42.1596867,-91.8754874
Shellsburg Fire Department,7,3/30/10,2010,6288 32nd AVE,Building fire,42.111582,-91.870866
Shellsburg Fire Department,18,2/8/11,2011,3186 62nd ST,Building fire,42.122951,-91.875698
Shellsburg Fire Department,10,5/1/11,2011,6678 29th AVE,Building fire,42.05401,-91.931527
Shellsburg Fire Department,16,7/18/11,2011,5993 29th AVE,Building fire,42.0978671,-91.9277586
Shellsburg Fire Department,7,9/15/11,2011,207 Grove ST,"Chimney or flue fire, confined to chimney or flue",42.0954655,-91.8724495
Shellsburg Fire Department,10,10/9/11,2011,6676 32nd AVE Apt lot 88,Building fire,42.055394,-91.866908
Shellsburg Fire Department,15,12/9/11,2011,2945 61 street TRL,Building fire,42.1246988,-91.9140805
Shellsburg Fire Department,11,12/10/11,2011,2945 61 street TRL,Building fire,42.1246988,-91.9140805
Shellsburg Fire Department,7,8/13/12,2012,8381 86th ST,Building fire,42.0945385,-91.8693231
Urbana Polk Twp Fire Department,8,2/8/05,2005,2804 55 ST,Building fire,42.2243489,-91.946785
Urbana Polk Twp Fire Department,10,7/21/05,2005,2908 56 St TRL,Building fire,42.200501,-91.928219
Urbana Polk Twp Fire Department,2,12/4/05,2005,5369 Hutton DR,Fires in structure other than in a building,42.2418192,-91.8822665
Urbana Polk Twp Fire Department,4,3/11/06,2006,3368 55 th STTR,Building fire,42.2257661,-91.8838659
Urbana Polk Twp Fire Department,6,3/14/06,2006,5446 33 rd AVE,Building fire,42.2344824,-91.8419673
Urbana Polk Twp Fire Department,1,3/22/06,2006,3278 51 st ST,Building fire,42.2801514,-91.862646
Urbana Polk Twp Fire Department,4,3/22/06,2006,501 South ST,Fire in mobile home used as fixed residence,42.222766,-91.877476
Urbana Polk Twp Fire Department,2,8/26/06,2006,101 N Union AVE,"Cooking fire, confined to container",42.225726,-91.871803
Urbana Polk Twp Fire Department,5,10/15/06,2006,401 Brush AVE,Building fire,42.221013,-91.874804
Urbana Polk Twp Fire Department,5,11/16/06,2006,503 W Main ST,Building fire,42.224587,-91.878002
Urbana Polk Twp Fire Department,5,1/30/07,2007,5414 32nd AVE,Building fire,42.2393984,-91.8711185
Urbana Polk Twp Fire Department,4,11/17/07,2007,3397 56 th STDR,Building fire,42.2049189,-91.837087
Urbana Polk Twp Fire Department,2,5/3/08,2008,306 W Main ST,Building fire,42.225705,-91.875666
Urbana Polk Twp Fire Department,15,7/14/09,2009,5357 30th AVE,Building fire,42.248253,-91.912051
Urbana Polk Twp Fire Department,9,1/26/10,2010,108 Richland AVE,Building fire,42.223805,-91.8819369
Urbana Polk Twp Fire Department,5,11/24/10,2010,606 Hope AVE,Building fire,42.21946,-91.883599
Urbana Polk Twp Fire Department,12,12/6/10,2010,5544 29 th AVE,"Chimney or flue fire, confined to chimney or flue",42.218578,-91.929272
Urbana Polk Twp Fire Department,8,4/4/11,2011,105 Brush AVE,Building fire,42.223551,-91.8748449
Urbana Polk Twp Fire Department,13,6/26/12,2012,5299 33rd Avenue Dr.,Building fire,42.256113,-91.849018
Urbana Polk Twp Fire Department,12,12/10/12,2012,2560 Bing Miller LN,"Fire in mobile prop. used as a fixed struc., other",42.222397,-91.9017779
Urbana Polk Twp Fire Department,10,2/16/13,2013,5681 32nd AVE,Building fire,42.198351,-91.877392
Urbana Polk Twp Fire Department,16,3/21/14,2014,2903 51st. St.,Building fire,42.2830588,-91.9269619
Van Horne Fire Department,8,4/8/05,2005,2209 72nd Street,Building fire,41.981704,-92.061688
Van Horne Fire Department,3,4/28/05,2005,5th Avenue 6th Street,"Cooking fire, confined to container",42.0105412,-92.0926033
Van Horne Fire Department,2,7/12/05,2005,89 2nd Avenue,Building fire,42.0088549,-92.08395
Van Horne Fire Department,3,3/16/12,2012,2147 70th ST,Building fire,42.007365,-92.076857
Van Horne Fire Department,5,10/3/12,2012,124 Main ST,Building fire,42.008413,-92.091514
Van Horne Fire Department,5,10/3/12,2012,504 2nd AVE,Building fire,42.0085512,-92.0912064
Van Horne Fire Department,5,10/3/12,2012,122 Main ST,Building fire,42.0083528,-92.0911653
Van Horne Fire Department,6,2/16/14,2014,300 8th ST Apt 10,"Cooking fire, confined to container",42.009622,-92.095642
Van Horne Fire Department,6,3/14/14,2014,110 9th ST,Building fire,42.008306,-92.096904
Van Horne Fire Department,2,8/18/14,2014,300 8th ST Apt 10,"Cooking fire, confined to container",42.009622,-92.095642
Van Horne Fire Department,5,12/8/14,2014,104 2nd ST,"Trash or rubbish fire, contained",42.007784,-92.087405
Vinton Fire Department,6,12/11/05,2005,1609 1st ST Apt # 5,"Cooking fire, confined to container",42.1702655,-92.0434172
Vinton Fire Department,4,5/13/07,2007,1007 A AVE,Building fire,42.16158,-92.025897
Vinton Fire Department,3,6/15/07,2007,207 B AVE,Building fire,42.169315,-92.027133
Vinton Fire Department,2,6/21/07,2007,305 C AVE,Building fire,42.1686152,-92.0278008
Vinton Fire Department,7,7/26/07,2007,6373 23rd AVE,Building fire,42.100248,-92.0540879
Vinton Fire Department,1,8/27/07,2007,S K AVE,"Trash or rubbish fire, contained",42.1603468,-92.0376754
Vinton Fire Department,6,9/14/07,2007,705 3rd AVE,Building fire,42.164247,-92.022048
Vinton Fire Department,7,11/8/07,2007,403 E 8th ST,Building fire,42.164006,-92.020111
Vinton Fire Department,8,12/18/07,2007,28th AVE and 58th ST,Building fire,42.1844324,-91.9493636
Vinton Fire Department,5,4/21/08,2008,512 W 6th ST,Building fire,42.165494,-92.029826
Vinton Fire Department,2,5/15/08,2008,715 W 9th ST,"Cooking fire, confined to container",42.163262,-92.0324909
Vinton Fire Department,5,6/11/08,2008,713 W 3rd ST,Building fire,42.168974,-92.032043
Vinton Fire Department,13,6/15/08,2008,2143 57th Street TRL,Fires in structure other than in a building,42.1952973,-92.0762293
Vinton Fire Department,12,8/6/08,2008,2354 55th DR,"Fire in motor home, camper, recreational vehicle",42.216155,-92.037297
Vinton Fire Department,2,11/21/08,2008,708 S 8th AVE,"Fire in mobile prop. used as a fixed struc., other",42.164356,-92.014766
Vinton Fire Department,5,11/24/08,2008,912 3rd AVE,"Cooking fire, confined to container",42.162113,-92.02136
Vinton Fire Department,7,4/21/09,2009,2739 61ST STREET LANE,Building fire,42.142508,-91.961116
Vinton Fire Department,8,5/31/09,2009,1010 A AVE,"Cooking fire, confined to container",42.161397,-92.025264
Vinton Fire Department,9,6/8/09,2009,2906 58th ST,Building fire,42.184278,-91.929747
Vinton Fire Department,2,7/13/09,2009,210 W 6th ST,Building fire,42.165367,-92.026348
Vinton Fire Department,7,11/20/09,2009,907 E AVE,Building fire,42.162511,-92.030689
Vinton Fire Department,3,11/23/09,2009,1110 4TH AVE,Building fire,42.160473,-92.020157
Vinton Fire Department,3,6/29/10,2010,812 1st AVE,Building fire,42.163196,-92.023898
Vinton Fire Department,8,1/18/11,2011,2671 54th ST,Building fire,42.2392593,-91.9735532
Vinton Fire Department,5,1/18/11,2011,707 6th AVE,"Chimney or flue fire, confined to chimney or flue",42.164384,-92.018373
Vinton Fire Department,3,10/27/11,2011,1601 W D ST,"Chimney or flue fire, confined to chimney or flue",42.17441,-92.039874
Vinton Fire Department,7,11/13/11,2011,704 2nd AVE,Building fire,42.164484,-92.022558
Vinton Fire Department,5,11/30/11,2011,105 M AVE,"Chimney or flue fire, confined to chimney or flue",42.171981,-92.041555
Vinton Fire Department,8,12/24/11,2011,6097 26th AVE,Building fire,42.137953,-91.989968
Vinton Fire Department,5,12/24/11,2011,1109 3rd AVE,Building fire,42.160721,-92.022053
Vinton Fire Department,5,1/27/12,2012,1008 S 9th AVE,Building fire,42.161351,-92.01398
Vinton Fire Department,4,2/10/12,2012,813 W 3rd ST,Fires in structure other than in a building,42.168958,-92.033427
Vinton Fire Department,6,4/6/12,2012,1611 W 1st ST,"Cooking fire, confined to container",42.1702668,-92.0435503
Vinton Fire Department,6,6/4/12,2012,314 W 5th ST,"Cooking fire, confined to container",42.1663659,-92.027617
Vinton Fire Department,9,7/25/12,2012,6457 23rd AVE,Building fire,42.083441,-92.050212
Vinton Fire Department,5,8/13/12,2012,1504 S 2nd Ave,Building fire,42.156344,-92.021995
Vinton Fire Department,6,1/31/13,2013,1021 GOLF VIEW DR,"Chimney or flue fire, confined to chimney or flue",42.175655,-92.011841
Vinton Fire Department,11,3/19/13,2013,2480 54th ST,Building fire,42.2385,-92.011277
Vinton Fire Department,4,6/22/13,2013,710 6th AVE,Building fire,42.164098,-92.017673
Vinton Fire Department,5,9/12/13,2013,419 W 15th ST,Building fire,42.157818,-92.028782
Vinton Fire Department,7,12/11/13,2013,514 S K AVE,Building fire,42.166203,-92.036714
Vinton Fire Department,3,12/25/13,2013,517 W 6th ST,"Cooking fire, confined to container",42.165984,-92.030007
Vinton Fire Department,13,1/5/14,2014,6445 25th AVE,Building fire,42.083306,-92.014384
Vinton Fire Department,5,1/6/14,2014,312 E 4th ST,"Chimney or flue fire, confined to chimney or flue",42.167333,-92.020921
Vinton Fire Department,6,1/11/14,2014,1701 W 1st ST,Building fire,42.1702718,-92.0444375
Vinton Fire Department,6,1/25/14,2014,1015 1st AVE,"Chimney or flue fire, confined to chimney or flue",42.1612129,-92.024775
Vinton Fire Department,3,2/26/14,2014,2449 63rd ST,"Chimney or flue fire, confined to chimney or flue",42.10889,-92.019273
Vinton Fire Department,5,3/29/14,2014,1609 W 1st ST,"Cooking fire, confined to container",42.1702655,-92.0434172
Vinton Fire Department,2,4/18/14,2014,1002 G AVE,Building fire,42.1615667,-92.0344376
Vinton Fire Department,6,5/8/14,2014,704 E 8th ST,Building fire,42.163447,-92.016515
Vinton Fire Department,5,5/29/14,2014,906 A AVE,Building fire,42.162488,-92.025332
Vinton Fire Department,4,10/7/14,2014,610 E 6th ST,Building fire,42.1656398,-92.0173137
Ladora Fire Department,4,12/4/06,2006,and 211 eastbound off ramp hartfor,"Fire in motor home, camper, recreational vehicle",41.7547247,-92.1835156
Ladora Fire Department,14,2/28/07,2007,and 2421 G avenue lincoln township,"Cooking fire, confined to container",41.6447239,-92.1828208
Ladora Fire Department,13,1/3/08,2008,and 1330 180th street township ha,"Chimney or flue fire, confined to chimney or flue",41.7547247,-92.1835156
Ladora Fire Department,4,1/4/08,2008,and 180th street and G avenue sumn,Building fire,41.7427216,-92.1822929
Ladora Fire Department,4,2/23/08,2008,and 407 pine street hartford tow,"Chimney or flue fire, confined to chimney or flue",41.7547247,-92.1835156
Ladora Fire Department,6,12/12/08,2008,and 801 High Street,Building fire,41.7572399,-92.1839331
Ladora Fire Department,10,12/13/08,2008,and 1330 180th Street,"Chimney or flue fire, confined to chimney or flue",41.7500345,-92.2340466
Ladora Fire Department,19,3/12/09,2009,and 1325 220th Street - Hartford 3,Fires in structure other than in a building,41.6886442,-92.2410716
Ladora Fire Department,2,3/15/09,2009,and 1835 JJ Avenue - Sumner 15,Fires in structure other than in a building,41.7547247,-92.1835156
Ladora Fire Department,11,12/3/09,2009,and 1893 H Avenue,Building fire,41.732256,-92.1621171
Ladora Fire Department,7,6/8/10,2010,and 1330 180th Street,Building fire,41.7500345,-92.2340466
Ladora Fire Department,5,7/23/10,2010,and 1403 160th,Building fire,41.7755735,-92.2202844
Ladora Fire Department,8,12/4/10,2010,and 1481 E avenue,Building fire,41.6474024,-92.2212392
Ladora Fire Department,8,12/4/10,2010,and 1481 e ave.,Building fire,41.6474024,-92.2212392
Ladora Fire Department,14,4/17/12,2012,and 1894 F Ave,Building fire,41.7331598,-92.2017095
Ladora Fire Department,10,5/31/12,2012,and 1894 F ave,Building fire,41.7331598,-92.2017095
Ladora Fire Department,9,5/31/12,2012,and 1894 F ave,Building fire,41.7331598,-92.2017095
Ladora Fire Department,4,3/26/14,2014,1418 A-diagonal ALY,Building fire,41.7547247,-92.1835156
Millersburg Fire Department,4,2/11/07,2007,2248 F52 TRL,Building fire,41.7441928,-93.5665939
Millersburg Fire Department,2,8/12/07,2007,791 Bush ST,Building fire,41.5733001,-92.1618076
Millersburg Fire Department,3,5/21/08,2008,2743 H AVE,Building fire,41.6096604,-92.1523625
Millersburg Fire Department,9,9/25/11,2011,2669 J AVE,Building fire,41.6003368,-92.1235965
North English Fire Department,16,7/17/04,2004,3333 E AVE,Building fire,41.5560825,-92.2202489
North English Fire Department,4,9/10/04,2004,132 S Main,Building fire,41.5146804,-92.0764476
North English Fire Department,7,9/10/04,2004,3366 NN AVE,Building fire,41.5476383,-92.0327489
North English Fire Department,3,12/28/05,2005,420 W Washington ST,Building fire,41.5176012,-92.0820623
North English Fire Department,8,5/18/06,2006,3131 MM AVE,Building fire,41.5484829,-92.0519962
North English Fire Department,5,8/16/07,2007,109 E Street ST,Building fire,42.0538497,-91.572464
North English Fire Department,15,3/15/08,2008,3219 S AVE,Building fire,41.535184,-91.9466861
North English Fire Department,7,7/29/08,2008,325 E Washington ST,Building fire,41.5175642,-92.072796
North English Fire Department,8,2/19/10,2010,216 N Campbell ST,Building fire,41.5161587,-92.0848049
North English Fire Department,2,4/19/11,2011,135 W SUMMIT ST,"Chimney or flue fire, confined to chimney or flue",41.5097988,-92.0769236
North English Fire Department,2,5/23/12,2012,115 W CLARK ST,Building fire,41.5139434,-92.0768102
North English Fire Department,4,10/18/12,2012,113 W Oak ST,Building fire,41.5150349,-92.0767576
North English Fire Department,6,3/18/13,2013,220 N HIGHLAND ST,"Chimney or flue fire, confined to chimney or flue",41.5165782,-92.0813256
North English Fire Department,17,4/23/13,2013,3080 O AVE,Building fire,41.5566871,-92.0231685
North English Fire Department,5,6/28/13,2013,210 S COLLEGE ST,Building fire,41.513855,-92.080523
North English Fire Department,10,7/16/13,2013,254 E CLARK ST,Building fire,41.5139454,-92.074172
North English Fire Department,7,10/27/13,2013,28378 KEOKUK IOWA RD,Building fire,41.5104253,-92.0515401
Victor Fire Department,7,2/4/04,2004,2654 B AVE,Building fire,41.7762075,-92.2792266
Victor Fire Department,9,10/22/04,2004,2598 POWESHIEK/IOWA RD,Building fire,41.6453093,-92.2998216
Victor Fire Department,10,11/27/04,2004,1101 E AVE,Building fire,41.7754575,-92.2210548
Victor Fire Department,10,11/19/06,2006,and 4173 Highway 21 south,Building fire,41.6930631,-92.3578989
Victor Fire Department,8,1/18/07,2007,and 1195 190th St. Old highway 6,Building fire,41.7316675,-92.2979615
Victor Fire Department,10,6/16/07,2007,and 4380 235th St.,Fires in structure other than in a building,41.6629596,-92.3292112
Victor Fire Department,2,1/14/08,2008,and 1828 Iowa /Poweshiek Road,Building fire,41.7365207,-92.2998564
Victor Fire Department,3,9/18/08,2008,and 4175 highway 21 north,Building fire,41.6927621,-92.3579084
Victor Fire Department,11,11/21/08,2008,and 4177 Highway 21 S,Building fire,41.691235,-92.3573407
Victor Fire Department,,8/19/09,2009,Highway,Building fire,41.7470427,-92.317975
Victor Fire Department,3,2/29/12,2012,"and A Diagonal & IA/PO County Line Road

Old Dolmage farm",Building fire,41.7316675,-92.2979615
Victor Fire Department,2,3/15/12,2012,"and 2241 Old Highway 6

Carnforth Inn",Building fire,41.7316675,-92.2979615
Victor Fire Department,2,4/16/12,2012,"and 1828 Ia/Poweshiek county line

Ed DeNeve Farm",Building fire,41.7316675,-92.2979615
Victor Fire Department,10,7/7/12,2012,4080 Highway 21,Building fire,41.7071442,-92.3577711
Victor Fire Department,3,4/5/13,2013,1764 A AVE,Building fire,41.7301065,-92.2885796
Victor Fire Department,3,4/6/13,2013,2455 Highway 6,Building fire,41.7472347,-92.308289
Williamsburg Fire Department,9,2/8/04,2004,2405 N AVENUE,Building fire,41.6583956,-92.0466553
Williamsburg Fire Department,7,5/10/04,2004,2119 S AVENUE,Building fire,41.6991352,-91.9496041
Williamsburg Fire Department,7,6/15/04,2004,2438 L AVENUE,Building fire,41.6527663,-92.0858994
Williamsburg Fire Department,8,6/16/04,2004,2545 F-52 TRAIL,Building fire,43.1507776,-93.1496324
Williamsburg Fire Department,4,6/28/04,2004,707 WEST WELSH STREET,Building fire,41.6607254,-92.0157001
Williamsburg Fire Department,5,8/27/04,2004,2580 230TH STREET,Building fire,41.6734555,-91.9914815
Williamsburg Fire Department,8,11/15/04,2004,103 WEST WALNUT STREET,"Cooking fire, confined to container",41.6628021,-92.0073809
Williamsburg Fire Department,8,7/2/05,2005,506 8TH AVENUE,Building fire,41.729919,-91.9966727
