Physician_Profile_ID,Category,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category,Record_ID
189872,GNRL,"Onyx Pharmaceuticals, Inc., an Amgen subsidiary",CA,100000000276,3000,11/11/2014,GNRL,175122618
189872,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,2500.00,11/13/2013,GNRL,104545054
189872,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,2500.00,11/04/2013,GNRL,104544818
189872,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,2500,02/28/2014,GNRL,198459984
189872,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,2500,05/22/2014,GNRL,198459936
189872,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,2500,02/21/2014,GNRL,198460026
189872,GNRL,"Astellas Pharma US Inc",IL,100000000137,2450,12/19/2014,GNRL,168613966
189872,GNRL,"Astellas Pharma US Inc",IL,100000000137,2100,02/12/2014,GNRL,168511288
189872,GNRL,"Medivation Inc.",CA,100000010858,2100,02/27/2014,GNRL,221253996
189872,GNRL,"Medivation Inc.",CA,100000010858,2100,07/17/2014,GNRL,221254504
189872,GNRL,"Teva Pharmaceuticals USA, Inc.",PA,100000000141,2000.00,11/21/2013,GNRL,21809138
189872,GNRL,"Teva Pharmaceuticals USA, Inc.",PA,100000000141,2000.00,09/25/2013,GNRL,21809143
189872,GNRL,"Novartis Pharmaceuticals Corporation",NJ,100000000228,2000,05/21/2014,GNRL,152649528
189872,GNRL,"Novartis Pharmaceuticals Corporation",NJ,100000000228,2000,09/24/2014,GNRL,152649510
189872,GNRL,"Novartis Pharmaceuticals Corporation",NJ,100000000228,2000,09/25/2014,GNRL,152649500
189872,GNRL,"Teva Pharmaceuticals USA, Inc.",PA,100000000141,2000,03/13/2014,GNRL,173389148
189872,GNRL,"Novartis Pharmaceuticals Corporation",NJ,100000000228,2000,05/21/2014,GNRL,152649520
189872,GNRL,"Astellas Pharma US Inc",IL,100000000137,1600.00,09/26/2013,GNRL,111800120
189872,GNRL,"Astellas Pharma US Inc",IL,100000000137,1600.00,11/07/2013,GNRL,111780490
189872,GNRL,"Celgene Corporation",NJ,100000000343,1500,05/06/2014,GNRL,189920168
189872,GNRL,"Celgene Corporation",NJ,100000000343,1500,07/22/2014,GNRL,189919324
189872,GNRL,"Onyx Pharmaceuticals, Inc., an Amgen subsidiary",CA,100000000276,1500,05/06/2014,GNRL,175123562
189872,GNRL,"Astellas Pharma US Inc",IL,100000000137,1437.66,11/06/2014,GNRL,168648724
189872,GNRL,"Astellas Pharma US Inc",IL,100000000137,1225,10/04/2014,GNRL,168650377
189872,GNRL,"Astellas Pharma US Inc",IL,100000000137,1225,10/04/2014,GNRL,168531790
189872,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,1020.60,09/17/2013,GNRL,104544808
189872,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,1019,04/24/2014,GNRL,198459974
189872,GNRL,"Amgen Inc.",CA,100000000203,800.00,09/18/2013,GNRL,8941497
189872,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,800,08/28/2014,GNRL,198459924
189872,GNRL,"Astellas Pharma US Inc",IL,100000000137,772.2,10/04/2014,GNRL,168484108
189872,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,769.80,10/01/2013,GNRL,104545050
189872,GNRL,"Astellas Pharma US Inc",IL,100000000137,700,12/19/2014,GNRL,168861156
189872,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,615.42,03/18/2014,GNRL,198460022
189872,GNRL,"GlaxoSmithKline, LLC.",NC,100000005449,600.00,12/16/2013,GNRL,104547498
189872,GNRL,"Novartis Pharmaceuticals Corporation",NJ,100000000228,528.4,09/24/2014,GNRL,152649508
189872,GNRL,"Astellas Pharma US Inc",IL,100000000137,516,11/06/2014,GNRL,168381190
