Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
324527,"Boston Scientific Corporation",MA,100000005674,13250,06/11/2014,"Cash or cash equivalent",153253634,Grant,"UNIVERSITY OF IOWA","","",""
324527,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,2350,05/17/2014,"Cash or cash equivalent",196509894,"Consulting Fee","",Pradaxa,"",""
324527,"St. Jude Medical, Inc.",MN,100000000310,2000.00,12/26/2013,"Cash or cash equivalent",9887541,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,2000.00,08/01/2013,"Cash or cash equivalent",9857921,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,2000.00,08/01/2013,"Cash or cash equivalent",9857903,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,2000,01/02/2014,"Cash or cash equivalent",164819082,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,2000,03/26/2014,"Cash or cash equivalent",164780996,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",""
324527,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,1600,05/28/2014,"Cash or cash equivalent",196509908,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Pradaxa,"",""
324527,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,960.17,05/16/2014,"In-kind items and services",196509898,"Travel and Lodging","",PRADAXA,"",""
324527,"Biosense Webster, Inc.",CA,100000005693,915.95,10/17/2014,"In-kind items and services",120526907,"Travel and Lodging","","","","Related to product training activity"
324527,"St. Jude Medical, Inc.",MN,100000000310,829.98,01/29/2014,"Cash or cash equivalent",164810969,"Travel and Lodging","","","",""
324527,"Boston Scientific Corporation",MA,100000005674,778.5,05/01/2014,"In-kind items and services",153253657,"Travel and Lodging","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,664.70,11/02/2013,"Cash or cash equivalent",9874515,"Travel and Lodging","","","",""
324527,"BIOTRONIK INC.",OR,100000010579,647.3,12/16/2014,"In-kind items and services",221333790,"Travel and Lodging","","","",""
324527,"Boston Scientific Corporation",MA,100000005674,609,09/16/2014,"In-kind items and services",153253684,"Travel and Lodging","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,584.76,01/29/2014,"Cash or cash equivalent",164810962,"Travel and Lodging","","","",""
324527,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,582,05/28/2014,"In-kind items and services",196701240,"Travel and Lodging","",Pradaxa,"",""
324527,"St. Jude Medical, Inc.",MN,100000000310,571.26,05/12/2014,"Cash or cash equivalent",164685326,"Travel and Lodging","","","",""
324527,"BIOTRONIK INC.",OR,100000010579,549.7,11/22/2014,"In-kind items and services",221301202,"Travel and Lodging","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,531.70,11/02/2013,"Cash or cash equivalent",9874436,"Travel and Lodging","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,500,04/02/2014,"Cash or cash equivalent",164780730,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,500,04/02/2014,"Cash or cash equivalent",164781486,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",""
324527,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,500,05/29/2014,"Cash or cash equivalent",196509920,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",Pradaxa,"",""
324527,"St. Jude Medical, Inc.",MN,100000000310,500,04/16/2014,"Cash or cash equivalent",164782572,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,500,04/02/2014,"Cash or cash equivalent",164780564,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,301.7,08/22/2014,"Cash or cash equivalent",164651900,"Travel and Lodging","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,256.45,05/13/2014,"Cash or cash equivalent",164685418,"Travel and Lodging","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,256.45,05/12/2014,"Cash or cash equivalent",164685178,"Travel and Lodging","","","",""
324527,"Biosense Webster, Inc.",CA,100000005693,253.14,12/15/2014,"In-kind items and services",120526911,"Travel and Lodging","","","","Related to product training activity"
324527,"St. Jude Medical, Inc.",MN,100000000310,225.46,01/29/2014,"Cash or cash equivalent",164810958,"Travel and Lodging","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,208.36,08/22/2014,"Cash or cash equivalent",164653480,"Travel and Lodging","","","",""
324527,"St. Jude Medical, Inc.",MN,100000000310,208.36,08/23/2014,"Cash or cash equivalent",164653802,"Travel and Lodging","","","",""
324527,"Boston Scientific Corporation",MA,100000005674,200.96,05/01/2014,"In-kind items and services",153253663,"Travel and Lodging","","","",""
