Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
222476,"DENTSPLY IH Inc.",PA,100000010676,3500.00,09/16/2013,"Cash or cash equivalent",105331962,"Compensation for serving as faculty or as a speaker for an accredited or certified continuing education program","","","","Program with Greg Loeffelholz"
222476,"DENTSPLY IH Inc.",PA,100000010676,3000,10/14/2014,"Cash or cash equivalent",178805124,"Compensation for serving as faculty or as a speaker for an accredited or certified continuing education program","","","","Honorarium for lecture in Orlando, FL on 9 26 14"
222476,"DENTSPLY IH Inc.",PA,100000010676,3000,03/21/2014,"Cash or cash equivalent",178770974,"Compensation for serving as faculty or as a speaker for an accredited or certified continuing education program","","","","lecture in Madison, WI on 3 13 14"
222476,"DENTSPLY IH Inc.",PA,100000010676,3000,05/23/2014,"Cash or cash equivalent",178784410,"Compensation for serving as faculty or as a speaker for an accredited or certified continuing education program","","","","lecture in Alton, IL on 5 23 14"
222476,"DENTSPLY IH Inc.",PA,100000010676,3000,11/10/2014,"Cash or cash equivalent",178805992,"Compensation for serving as faculty or as a speaker for an accredited or certified continuing education program","","","","Honorarium for 10 27 14 lecture in Wickliffe, OH"
222476,"DENTSPLY IH Inc.",PA,100000010676,3000,10/14/2014,"Cash or cash equivalent",178805112,"Compensation for serving as faculty or as a speaker for an accredited or certified continuing education program","","","","Honorarium for 10 2 14 lecture in Kansas City, MO"
222476,"DENTSPLY IH Inc.",PA,100000010676,2000.00,11/20/2013,"Cash or cash equivalent",105333892,"Compensation for serving as faculty or as a speaker for an accredited or certified continuing education program","","","","lecture on 11.7.13 in Albuquerque, NM"
222476,"DENTSPLY IH Inc.",PA,100000010676,2000,04/08/2014,"Cash or cash equivalent",178772414,"Compensation for serving as faculty or as a speaker for an accredited or certified continuing education program","","","","lecture on 3 27 14 in Duluth, MN"
222476,"DENTSPLY IH Inc.",PA,100000010676,2000,03/05/2014,"Cash or cash equivalent",178767776,"Compensation for serving as faculty or as a speaker for an accredited or certified continuing education program","","","","lecture in Jacksonville, FL on 2 20 14"
222476,"DENTSPLY IH Inc.",PA,100000010676,1000,05/22/2014,"Cash or cash equivalent",178784406,"Compensation for serving as faculty or as a speaker for an accredited or certified continuing education program","","","","lecture in Fenton, MO on 5 22 14"
