Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
42003,"OptiMedica Corporation",CA,100000010681,20000,08/21/2014,"Cash or cash equivalent",182730480,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",92d0bf6e5cd1c3cf842a036ab47da446
42003,"Abbott Laboratories",IL,100000010680,9900,01/09/2014,"Cash or cash equivalent",195946262,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Jason J Jones dba Jones Eye Clinic","","","EXP 140113173754429109 DTL 140414125326562026"
42003,"OptiMedica Corporation",CA,100000010681,6144.68,08/23/2013,"Stock, stock option, or any other ownership interest",22912208,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","","Acquisition Payment"
42003,"Abbott Laboratories",IL,100000010680,4500,07/17/2014,"Cash or cash equivalent",195913488,"Consulting Fee","Jason J Jones dba Jones Eye Clinic","","","EXP 140909124533793300 DTL 140909124629274594"
42003,"Abbott Laboratories",IL,100000010680,3825,08/27/2014,"Cash or cash equivalent",195956454,"Consulting Fee","Jason J Jones dba Jones Eye Clinic","","","EXP 140930125205295113 DTL 140930125325735960"
42003,"Abbott Laboratories",IL,100000010680,2700,02/05/2014,"Cash or cash equivalent",195913120,"Consulting Fee","","","","EXP 140421165607963224 DTL 140421165717968407"
42003,"Abbott Laboratories",IL,100000010680,650,08/27/2014,"Cash or cash equivalent",195952218,"Consulting Fee","Jason J Jones dba Jones Eye Clinic","","","EXP 140930123856457249 DTL 140930124012875337"
42003,"Abbott Laboratories",IL,100000010680,524.42,08/27/2014,"In-kind items and services",195907830,"Travel and Lodging","Jason J Jones dba Jones Eye Clinic","","","EXP 140930134843018231 DTL 140930134939395820"
42003,"GLAUKOS CORPORATION",CA,100000000102,500,11/04/2014,"Cash or cash equivalent",119068280,Honoraria,"","","",""
42003,"Abbott Laboratories",IL,100000010680,440.2,08/11/2014,"In-kind items and services",195972738,"Travel and Lodging","","","","AMO AMO 10436320 391088787 0814 0193 AMO 10436320 391088787 0814 0193"
42003,"Abbott Laboratories",IL,100000010680,421.5,08/27/2014,"In-kind items and services",195898986,"Travel and Lodging","Jason J Jones dba Jones Eye Clinic","","","EXP 140930134326617761 DTL 140930134412418319"
