Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Name_of_Study,Research_Information_Link,Context_of_Research
1045914,"United Therapeutics Corporation",NC,100000010739,18750.00,10/11/2013,"Cash or cash equivalent",31639983,TYVASO,"","STUDY OF INCIDENCE OF RESPIRATORY TRACT AES IN PATIENTS TREATED WITH TYVASO COMPARED TO OTHER FDA APPROVED PAH THERAPIES ASPIRE",http://www.clinicaltrials.gov/ct2/show/NCT01266265,NA
1045914,"United Therapeutics Corporation",NC,100000010739,7312.50,11/27/2013,"Cash or cash equivalent",31639985,TYVASO,"","STUDY OF INCIDENCE OF RESPIRATORY TRACT AES IN PATIENTS TREATED WITH TYVASO COMPARED TO OTHER FDA APPROVED PAH THERAPIES ASPIRE",http://www.clinicaltrials.gov/ct2/show/NCT01266265,NA
1045914,"United Therapeutics Corporation",NC,100000010739,7284.00,08/15/2014,"Cash or cash equivalent",214164568,ORENITRAM,"","TRIAL OF THE EARLY COMBINATION OF ORAL TREPROSTINIL WITH A PDE-5 INHIBITOR OR ERA IN SUBJECTS WITH PULMONARY ARTERIAL HYPERTENSION FREEDOM EV",http://clinicaltrials.gov/ct2/show/NCT01560624,NA
1045914,"United Therapeutics Corporation",NC,100000010739,6682.00,09/05/2014,"Cash or cash equivalent",214164574,ORENITRAM,"","TRIAL OF THE EARLY COMBINATION OF ORAL TREPROSTINIL WITH A PDE-5 INHIBITOR OR ERA IN SUBJECTS WITH PULMONARY ARTERIAL HYPERTENSION FREEDOM EV",http://clinicaltrials.gov/ct2/show/NCT01560624,NA
1045914,"United Therapeutics Corporation",NC,100000010739,5375.00,11/13/2013,"Cash or cash equivalent",31639984,TYVASO,"","STUDY OF INCIDENCE OF RESPIRATORY TRACT AES IN PATIENTS TREATED WITH TYVASO COMPARED TO OTHER FDA APPROVED PAH THERAPIES ASPIRE",http://www.clinicaltrials.gov/ct2/show/NCT01266265,NA
1045914,"United Therapeutics Corporation",NC,100000010739,5324.00,05/23/2014,"Cash or cash equivalent",214164556,ORENITRAM,"","TRIAL OF THE EARLY COMBINATION OF ORAL TREPROSTINIL WITH A PDE-5 INHIBITOR OR ERA IN SUBJECTS WITH PULMONARY ARTERIAL HYPERTENSION FREEDOM EV",http://clinicaltrials.gov/ct2/show/NCT01560624,NA
1045914,"United Therapeutics Corporation",NC,100000010739,5212.00,08/15/2014,"Cash or cash equivalent",214164566,ORENITRAM,"","TRIAL OF THE EARLY COMBINATION OF ORAL TREPROSTINIL WITH A PDE-5 INHIBITOR OR ERA IN SUBJECTS WITH PULMONARY ARTERIAL HYPERTENSION FREEDOM EV",http://clinicaltrials.gov/ct2/show/NCT01560624,NA
1045914,"United Therapeutics Corporation",NC,100000010739,5046.00,02/21/2014,"Cash or cash equivalent",214164548,ORENITRAM,"","TRIAL OF THE EARLY COMBINATION OF ORAL TREPROSTINIL WITH A PDE-5 INHIBITOR OR ERA IN SUBJECTS WITH PULMONARY ARTERIAL HYPERTENSION FREEDOM EV",http://clinicaltrials.gov/ct2/show/NCT01560624,NA
1045914,"United Therapeutics Corporation",NC,100000010739,4706.00,09/05/2014,"Cash or cash equivalent",214164572,ORENITRAM,"","TRIAL OF THE EARLY COMBINATION OF ORAL TREPROSTINIL WITH A PDE-5 INHIBITOR OR ERA IN SUBJECTS WITH PULMONARY ARTERIAL HYPERTENSION FREEDOM EV",http://clinicaltrials.gov/ct2/show/NCT01560624,NA
1045914,"United Therapeutics Corporation",NC,100000010739,3441.00,10/24/2014,"Cash or cash equivalent",214164576,ORENITRAM,"","TRIAL OF THE EARLY COMBINATION OF ORAL TREPROSTINIL WITH A PDE-5 INHIBITOR OR ERA IN SUBJECTS WITH PULMONARY ARTERIAL HYPERTENSION FREEDOM EV",http://clinicaltrials.gov/ct2/show/NCT01560624,NA
