Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
1045914,"Actelion Pharmaceuticals, Ltd",CA,100000010476,1754.77,09/17/2014,"Cash or cash equivalent",195021720,"Travel and Lodging","","TRACLEER BOSENTAN","",""
1045914,"Actelion Pharmaceuticals US, Inc.",CA,100000010813,578,12/04/2014,"Cash or cash equivalent",194987560,"Travel and Lodging","","TRACLEER BOSENTAN","VELETRI EPOPROSTENOL",""
1045914,"Actelion Pharmaceuticals, Ltd",CA,100000010476,342,09/17/2014,"Cash or cash equivalent",195021722,"Travel and Lodging","","TRACLEER BOSENTAN","",""
1045914,"Actelion Pharmaceuticals US, Inc.",CA,100000010813,331.59,12/04/2014,"In-kind items and services",194987552,"Food and Beverage","","TRACLEER BOSENTAN","VELETRI EPOPROSTENOL",""
1045914,"Actelion Pharmaceuticals US, Inc.",CA,100000010813,309.69,12/04/2014,"Cash or cash equivalent",194987556,"Travel and Lodging","","VENTAVIS ILOPROST","VELETRI EPOPROSTENOL",""
1045914,"Actelion Pharmaceuticals, Ltd",CA,100000010476,100,09/17/2014,"In-kind items and services",195021724,"Food and Beverage","","TRACLEER BOSENTAN","",""
1045914,"Actelion Pharmaceuticals US, Inc.",CA,100000010813,92.32,12/04/2014,"Cash or cash equivalent",194987564,"Travel and Lodging","","TRACLEER BOSENTAN","VELETRI EPOPROSTENOL",""
1045914,"Actelion Pharmaceuticals, Ltd",CA,100000010476,50,09/18/2014,"In-kind items and services",195021732,"Food and Beverage","","TRACLEER BOSENTAN","",""
1045914,"Actelion Pharmaceuticals, Ltd",CA,100000010476,37,09/18/2014,"In-kind items and services",195021726,"Food and Beverage","","TRACLEER BOSENTAN","",""
1045914,"Actelion Pharmaceuticals, Ltd",CA,100000010476,33,09/18/2014,"In-kind items and services",195021728,"Food and Beverage","","TRACLEER BOSENTAN","",""
1045914,"Actelion Pharmaceuticals, Ltd",CA,100000010476,27,09/18/2014,"In-kind items and services",195021730,"Food and Beverage","","TRACLEER BOSENTAN","",""
1045914,"United Therapeutics Corporation",NC,100000010739,14,02/13/2014,"In-kind items and services",200838944,"Food and Beverage","",TYVASO,"",""
