GIS_Number_valuations,Map_Name_valuations,Class_valuations,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total
112235302100000,NE 175,AG LAND,23100,0,23100,0,0,23100
112625100100000,CHURCH,EXEMPT,0,480000,480000,0,477800,957800
112625100200000,CHURCH,EXEMPT,0,629400,629400,0,8591700,9221100
112630300100000,NE 160,RESIDENTIAL,50700,0,50700,164400,0,215100
112630300200000,NE 160,RESIDENTIAL,48800,0,48800,190800,0,239600
112630300300000,NE 160,RESIDENTIAL,47800,0,47800,190000,0,237800
112630400100000,NE 160,RESIDENTIAL,49900,0,49900,254000,0,303900
112630400200000,NE 160,RESIDENTIAL,46900,0,46900,194400,0,241300
112630400300000,NE 160,RESIDENTIAL,47100,0,47100,192800,0,239900
112630400400000,NE 160,RESIDENTIAL,49300,0,49300,199200,0,248500
112630400500000,NE 160,RESIDENTIAL,47400,0,47400,200400,0,247800
112630400600000,NE 160,RESIDENTIAL,47200,0,47200,194500,0,241700
112630400700000,NE 160,RESIDENTIAL,43700,0,43700,183300,0,227000
112630400800000,NE 160,RESIDENTIAL,46000,0,46000,189500,0,235500
112630400900000,NE 160,RESIDENTIAL,48500,0,48500,211600,0,260100
112630401000000,NE 160,RESIDENTIAL,47900,0,47900,219000,0,266900
112630401100000,NE 160,RESIDENTIAL,49900,0,49900,162900,0,212800
112630401200000,NE 160,RESIDENTIAL,50300,0,50300,155900,0,206200
112630500100000,NE 160,RESIDENTIAL,50200,0,50200,237900,0,288100
112630500200000,NE 160,RESIDENTIAL,47100,0,47100,189300,0,236400
112630500300000,NE 160,RESIDENTIAL,47500,0,47500,188700,0,236200
112630500400000,NE 160,RESIDENTIAL,49300,0,49300,217700,0,267000
112630500500000,NE 160,RESIDENTIAL,46900,0,46900,187800,0,234700
112630500600000,NE 160,RESIDENTIAL,46900,0,46900,186300,0,233200
112630500700000,NE 160,RESIDENTIAL,53900,0,53900,184600,0,238500
112630600100000,NE 160,RESIDENTIAL,48300,0,48300,193800,0,242100
112630600200000,NE 160,RESIDENTIAL,48400,0,48400,213000,0,261400
112630600300000,NE 160,RESIDENTIAL,47800,0,47800,191100,0,238900
112630600400000,NE 160,RESIDENTIAL,49800,0,49800,243400,0,293200
112630600500000,NE 160,RESIDENTIAL,49300,0,49300,184200,0,233500
112630600600000,NE 160,RESIDENTIAL,43300,0,43300,190200,0,233500
112630600700000,NE 160,RESIDENTIAL,46900,0,46900,234300,0,281200
112630600800000,NE 160,RESIDENTIAL,45800,0,45800,227000,0,272800
112630600900000,NE 160,RESIDENTIAL,48300,0,48300,200200,0,248500
112630601000000,NE 160,RESIDENTIAL,43700,0,43700,199800,0,243500
112630601100000,NE 160,RESIDENTIAL,48300,0,48300,246000,0,294300
112630601200000,NE 160,RESIDENTIAL,46000,0,46000,214500,0,260500
112630601300000,NE 160,RESIDENTIAL,43700,0,43700,216800,0,260500
112630601400000,NE 160,RESIDENTIAL,47700,0,47700,229700,0,277400
112630601500000,NE 160,RESIDENTIAL,45500,0,45500,205600,0,251100
112630601600000,NE 160,RESIDENTIAL,48400,0,48400,204200,0,252600
112630601700000,NE 160,RESIDENTIAL,44000,0,44000,193800,0,237800
112630601800000,NE 160,RESIDENTIAL,45600,0,45600,226300,0,271900
112630601900000,NE 160,RESIDENTIAL,49400,0,49400,185500,0,234900
112630700100000,NE 160,RESIDENTIAL,50800,0,50800,179600,0,230400
112632700100000,NE 160,RESIDENTIAL,48900,0,48900,215400,0,264300
112632700200000,NE 160,RESIDENTIAL,51700,0,51700,229300,0,281000
112632700300000,NE 160,RESIDENTIAL,52400,0,52400,217700,0,270100
112632700400000,NE 160,RESIDENTIAL,45300,0,45300,202000,0,247300
112632700500000,NE 160,RESIDENTIAL,47400,0,47400,200000,0,247400
112632700600000,NE 160,RESIDENTIAL,47600,0,47600,201400,0,249000
112632700700000,NE 160,RESIDENTIAL,45900,0,45900,164900,0,210800
112632700800000,NE 160,RESIDENTIAL,48800,0,48800,185300,0,234100
112632700900000,NE 160,RESIDENTIAL,48600,0,48600,190300,0,238900
112632701000000,NE 160,RESIDENTIAL,47800,0,47800,163500,0,211300
112632701100000,NE 160,RESIDENTIAL,45700,0,45700,181200,0,226900
112632701200000,NE 160,RESIDENTIAL,47600,0,47600,209100,0,256700
112632701300000,NE 160,RESIDENTIAL,47600,0,47600,193100,0,240700
112632701400000,NE 160,RESIDENTIAL,50200,0,50200,188800,0,239000
112632701500000,NE 160,RESIDENTIAL,46900,0,46900,201200,0,248100
112632701600000,NE 160,RESIDENTIAL,48500,0,48500,197000,0,245500
112632701700000,NE 160,RESIDENTIAL,47600,0,47600,256300,0,303900
112632701800000,NE 160,RESIDENTIAL,42800,0,42800,211500,0,254300
112632701900000,NE 160,RESIDENTIAL,48100,0,48100,259400,0,307500
112632702000000,NE 160,RESIDENTIAL,47200,0,47200,189400,0,236600
112632702100000,NE 160,RESIDENTIAL,47500,0,47500,242500,0,290000
112632702200000,NE 160,RESIDENTIAL,44100,0,44100,178900,0,223000
112632702300000,NE 160,RESIDENTIAL,48800,0,48800,202200,0,251000
112632702400000,NE 160,RESIDENTIAL,49000,0,49000,251200,0,300200
112632800100000,NE 160,RESIDENTIAL,49700,0,49700,214800,0,264500
112632800200000,CHURCH,EXEMPT,0,525300,525300,0,375500,900800
112632800300000,NE 160,RESIDENTIAL,77500,0,77500,302600,0,380100
112632800400000,NE 160,RESIDENTIAL,74800,0,74800,173700,0,248500
112632800500000,NE 160,RESIDENTIAL,50300,0,50300,181100,0,231400
112632800600000,NE 160,RESIDENTIAL,49500,0,49500,230300,0,279800
112632800700000,NE 160,RESIDENTIAL,46900,0,46900,189600,0,236500
112632800800000,NE 160,RESIDENTIAL,49900,0,49900,202200,0,252100
112632800900000,NE 160,RESIDENTIAL,49000,0,49000,209100,0,258100
112632801000000,NE 160,RESIDENTIAL,53400,0,53400,218100,0,271500
112632801100000,NE 160,RESIDENTIAL,49900,0,49900,217400,0,267300
112632801200000,NE 160,RESIDENTIAL,49200,0,49200,216200,0,265400
112632801300000,NE 160,RESIDENTIAL,50500,0,50500,226900,0,277400
112632801400000,NE 160,RESIDENTIAL,48900,0,48900,248000,0,296900
112632801500000,NE 160,RESIDENTIAL,48800,0,48800,178300,0,227100
112632801600000,NE 160,RESIDENTIAL,47100,0,47100,197600,0,244700
112632801700000,NE 160,RESIDENTIAL,48700,0,48700,189800,0,238500
112632801800000,NE 160,RESIDENTIAL,47000,0,47000,192300,0,239300
112632801900000,NE 160,RESIDENTIAL,48400,0,48400,174000,0,222400
112632802000000,NE 160,RESIDENTIAL,49500,0,49500,192700,0,242200
112632802100000,NE 160,RESIDENTIAL,46900,0,46900,196400,0,243300
112632802200000,NE 160,RESIDENTIAL,47900,0,47900,157700,0,205600
112632802300000,NE 160,RESIDENTIAL,45700,0,45700,199600,0,245300
112632802400000,NE 160,RESIDENTIAL,49300,0,49300,195900,0,245200
112632802500000,NE 160,RESIDENTIAL,46900,0,46900,197100,0,244000
112632900100000,NE 160,RESIDENTIAL,50800,0,50800,215200,0,266000
112632900200000,NE 160,RESIDENTIAL,47000,0,47000,206900,0,253900
112632900300000,NE 160,RESIDENTIAL,45000,0,45000,190000,0,235000
112632900400000,NE 160,RESIDENTIAL,47700,0,47700,179300,0,227000
112632900500000,NE 160,RESIDENTIAL,48000,0,48000,210000,0,258000
112632900600000,NE 160,RESIDENTIAL,45300,0,45300,236100,0,281400
112632900700000,NE 160,RESIDENTIAL,48300,0,48300,219900,0,268200
112632900800000,NE 160,RESIDENTIAL,44600,0,44600,202900,0,247500
112632900900000,NE 160,RESIDENTIAL,46900,0,46900,209200,0,256100
112632901000000,NE 160,RESIDENTIAL,49300,0,49300,232400,0,281700
112632901100000,NE 160,RESIDENTIAL,46200,0,46200,183800,0,230000
112632901200000,NE 160,RESIDENTIAL,47300,0,47300,194700,0,242000
112632901300000,NE 160,RESIDENTIAL,47800,0,47800,200700,0,248500
112635100100000,NE 160,RESIDENTIAL,49900,0,49900,216400,0,266300
112635100200000,NE 160,RESIDENTIAL,47000,0,47000,199700,0,246700
112635100300000,NE 160,RESIDENTIAL,49000,0,49000,199900,0,248900
112635100400000,NE 160,RESIDENTIAL,46200,0,46200,209600,0,255800
112635100500000,NE 160,RESIDENTIAL,51100,0,51100,245800,0,296900
112635100600000,NE 160,RESIDENTIAL,50400,0,50400,242000,0,292400
112635100700000,NE 160,RESIDENTIAL,47000,0,47000,183100,0,230100
112635100800000,NE 160,RESIDENTIAL,48900,0,48900,188200,0,237100
112635200100000,NE 160,RESIDENTIAL,47100,0,47100,178900,0,226000
112635200200000,NE 160,RESIDENTIAL,50700,0,50700,196500,0,247200
112635200300000,NE 160,RESIDENTIAL,47800,0,47800,189900,0,237700
112635200400000,NE 160,RESIDENTIAL,49900,0,49900,211400,0,261300
112635300100000,NE 160,RESIDENTIAL,49600,0,49600,187000,0,236600
112635300200000,NE 160,RESIDENTIAL,46900,0,46900,181700,0,228600
112635300300000,NE 160,RESIDENTIAL,49800,0,49800,167200,0,217000
112635300400000,NE 160,RESIDENTIAL,46900,0,46900,174200,0,221100
112635300500000,NE 160,RESIDENTIAL,46900,0,46900,212100,0,259000
112635300600000,NE 160,RESIDENTIAL,47400,0,47400,203000,0,250400
112635300700000,NE 160,RESIDENTIAL,47400,0,47400,190800,0,238200
112635300800000,NE 160,RESIDENTIAL,48000,0,48000,189800,0,237800
112635300900000,NE 160,RESIDENTIAL,46900,0,46900,190800,0,237700
112635301000000,NE 160,RESIDENTIAL,46900,0,46900,173900,0,220800
112635301100000,NE 160,RESIDENTIAL,46900,0,46900,163800,0,210700
112635301200000,NE 160,RESIDENTIAL,46300,0,46300,206400,0,252700
112635301300000,NE 160,RESIDENTIAL,49200,0,49200,187800,0,237000
112635301400000,NE 160,RESIDENTIAL,49800,0,49800,173800,0,223600
112635301500000,NE 160,RESIDENTIAL,49200,0,49200,195100,0,244300
112635301600000,NE 160,RESIDENTIAL,49800,0,49800,193200,0,243000
112635301700000,NE 160,RESIDENTIAL,46900,0,46900,205000,0,251900
112635301800000,NE 160,RESIDENTIAL,49300,0,49300,219100,0,268400
112635301900000,NE 160,RESIDENTIAL,44600,0,44600,182700,0,227300
112635302000000,NE 160,RESIDENTIAL,48400,0,48400,240300,0,288700
112635302100000,NE 160,RESIDENTIAL,49100,0,49100,197300,0,246400
112635302200000,NE 160,RESIDENTIAL,49100,0,49100,230300,0,279400
112635302300000,NE 160,RESIDENTIAL,48000,0,48000,201000,0,249000
112635302400000,NE 160,RESIDENTIAL,47400,0,47400,193800,0,241200
112635302500000,NE 160,RESIDENTIAL,47800,0,47800,182800,0,230600
112635302600000,NE 160,RESIDENTIAL,50500,0,50500,177500,0,228000
