Physician_Profile_ID,Category,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category,Record_ID
663779,GNRL,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,83.10,03/23/2015,GNRL,319700258
663779,GNRL,"AbbVie, Inc.",IL,100000000204,69.31,02/26/2015,GNRL,308752630
663779,GNRL,"Bayer HealthCare Pharmaceuticals Inc.",NJ,100000005467,20.85,09/15/2015,GNRL,335072358
663779,GNRL,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,20.83,02/27/2014,GNRL,188595302
663779,GNRL,"Ethicon US, LLC",OH,100000061307,20.27,12/15/2014,GNRL,120890917
663779,GNRL,"Valeant Pharmaceuticals North America LLC",NJ,100000010935,19.51,10/28/2015,GNRL,295506578
663779,GNRL,"Merck Sharp & Dohme Corporation",NJ,100000000053,18.75,11/04/2014,GNRL,202386396
663779,GNRL,"AbbVie, Inc.",IL,100000000204,18.18,12/18/2014,GNRL,189658314
663779,GNRL,"SHIONOGI INC",NJ,100000005589,17.71,09/20/2013,GNRL,23549981
663779,GNRL,"Warner Chilcott LLC",NJ,100000010614,17.03,10/01/2013,GNRL,22937534
663779,GNRL,"Actavis Pharma Inc",NJ,100000010642,16.70,04/04/2014,GNRL,187494830
663779,GNRL,"Genzyme Corporation",MA,100000000297,16.15,09/04/2013,GNRL,14292268
663779,GNRL,"AbbVie, Inc.",IL,100000000204,15.31,04/01/2014,GNRL,189246868
663779,GNRL,"AbbVie, Inc.",IL,100000000204,14.63,07/21/2014,GNRL,189417668
663779,GNRL,"Bayer HealthCare Pharmaceuticals Inc.",NJ,100000005467,13.93,08/21/2014,GNRL,219038738
663779,GNRL,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,13.80,10/21/2013,GNRL,14295820
663779,GNRL,"Bayer HealthCare Pharmaceuticals Inc.",NJ,100000005467,13.49,02/06/2014,GNRL,218974268
663779,GNRL,"AbbVie, Inc.",IL,100000000204,13.39,12/18/2013,GNRL,31116874
663779,GNRL,"AbbVie, Inc.",IL,100000000204,12.18,11/18/2014,GNRL,189607496
663779,GNRL,"Bayer HealthCare Pharmaceuticals Inc.",NJ,100000005467,12.06,12/17/2013,GNRL,31069728
663779,GNRL,"Pfizer Inc.",NY,100000000286,12.04,11/24/2015,GNRL,322570534
663779,GNRL,"Pfizer Inc.",NY,100000000286,12.00,03/20/2015,GNRL,322579742
663779,GNRL,"Actavis Pharma Inc",NJ,100000010642,11.98,03/13/2014,GNRL,187494828
663779,GNRL,"Noven Pharmaceuticals, Inc.",FL,100000000219,11.98,10/20/2014,GNRL,217860700
663779,GNRL,"Noven Pharmaceuticals, Inc.",FL,100000000219,11.80,09/19/2014,GNRL,217860696
663779,GNRL,"Mallinckrodt LLC",MO,100000005429,11.63,11/25/2014,GNRL,210918246
663779,GNRL,"Duchesnay USA Incorporated",PA,100000000315,11.11,12/10/2014,GNRL,220293718
663779,GNRL,"Pfizer Inc.",NY,100000000286,11.00,01/27/2014,GNRL,207217580
663779,GNRL,"Mallinckrodt LLC",MO,100000005429,10.82,08/14/2014,GNRL,210918248
663779,GNRL,"Pfizer Inc.",NY,100000000286,10.60,10/03/2014,GNRL,206736446
663779,GNRL,"Merck Sharp & Dohme Corporation",NJ,100000000053,10.50,12/07/2015,GNRL,331102801
663779,GNRL,"Teva Pharmaceuticals USA, Inc.",PA,100000000141,10.22,08/11/2014,GNRL,173481674
663779,GNRL,"SHIONOGI INC",NJ,100000005589,10.11,08/27/2013,GNRL,25410654
