Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
25375,"The Medicines Company",NJ,100000010428,109.15,12/09/2013,"In-kind items and services",105381234,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",ANGIOMAX,"",""
25375,"Medtronic Vascular, Inc.",MN,100000010384,76.71,10/13/2015,"In-kind items and services",296295952,"Food and Beverage","","","",""
25375,"AstraZeneca Pharmaceuticals LP",DE,100000000146,46.33,10/12/2015,"In-kind items and services",256378008,"Food and Beverage","",BRILINTA,"","Informational Meal"
25375,"Volcano Corporation",CA,100000000212,45.54,12/10/2013,"In-kind items and services",102475630,"Food and Beverage","","","",""
25375,"St. Jude Medical, Inc.",MN,100000000310,25.59,04/08/2015,"Cash or cash equivalent",259523030,"Food and Beverage","","","",""
25375,"AstraZeneca Pharmaceuticals LP",DE,100000000146,25.48,10/13/2015,"In-kind items and services",255418872,"Food and Beverage","",BRILINTA,"","Informational Meal"
25375,"Abbott Laboratories",IL,100000010680,24.71,02/24/2015,"In-kind items and services",333073510,"Food and Beverage","","","","CTE84 29665910 18727949"
25375,"St. Jude Medical, Inc.",MN,100000000310,22.84,12/17/2014,"Cash or cash equivalent",164626208,"Food and Beverage","","","",""
25375,"AstraZeneca Pharmaceuticals LP",DE,100000000146,21.22,02/05/2015,"In-kind items and services",256383366,"Food and Beverage","",BRILINTA,"","Informational Meal"
25375,"AstraZeneca Pharmaceuticals LP",DE,100000000146,16.85,08/28/2014,"In-kind items and services",149576143,"Food and Beverage","",BRILINTA,"","Informational Meal"
25375,"Abbott Laboratories",IL,100000010680,16.76,10/16/2015,"In-kind items and services",333077052,"Food and Beverage","","","","CTE84 34438673 20501883"
25375,"NOVARTIS PHARMACEUTICALS CORPORATION",NJ,100000000228,16.28,08/05/2015,"In-kind items and services",263312634,"Food and Beverage","",ENTRESTO,"",""
25375,"AstraZeneca Pharmaceuticals LP",DE,100000000146,15.81,02/26/2015,"In-kind items and services",256417428,"Food and Beverage","",BRILINTA,"","Educational Program"
25375,"AstraZeneca Pharmaceuticals LP",DE,100000000146,15.72,10/12/2015,"In-kind items and services",256411898,"Food and Beverage","",BRILINTA,"","Informational Meal"
25375,"NOVARTIS PHARMACEUTICALS CORPORATION",NJ,100000000228,15.70,09/18/2015,"In-kind items and services",263312632,"Food and Beverage","",ENTRESTO,"",""
25375,"Regeneron Healthcare Solutions, Inc.",NY,100000136416,14.80,11/13/2015,"In-kind items and services",321397084,"Food and Beverage","","PRALUENT (alirocumab) Injection","",""
25375,"AstraZeneca Pharmaceuticals LP",DE,100000000146,14.38,01/22/2015,"In-kind items and services",255725968,"Food and Beverage","",BRILINTA,"","Informational Meal"
25375,"ZOLL Services LLC (A/K/A ZOLL LifeCor Corp)",PA,100000000178,14.23,08/31/2014,"In-kind items and services",203013462,"Food and Beverage","","","",""
25375,"Abbott Laboratories",IL,100000010680,13.75,03/20/2015,"In-kind items and services",333048106,"Food and Beverage","","","","CTE84 30175814 18727949"
25375,"Regeneron Healthcare Solutions, Inc.",NY,100000136416,13.72,08/12/2015,"In-kind items and services",321403350,"Food and Beverage","","PRALUENT (alirocumab) Injection","",""
25375,"AstraZeneca Pharmaceuticals LP",DE,100000000146,13.00,08/10/2015,"In-kind items and services",256382128,"Food and Beverage","",BRILINTA,"","Informational Meal"
25375,"AstraZeneca Pharmaceuticals LP",DE,100000000146,12.84,05/27/2015,"In-kind items and services",256463686,"Food and Beverage","",BRILINTA,"","Informational Meal"
