Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Name_of_Study,Research_Information_Link,Context_of_Research
35175,"ViiV Healthcare Company",NC,100000005550,4364.06,09/05/2013,"Cash or cash equivalent",106200097,SELZENTRY,"","A MULTICENTER RANDOMIZED DOUBLE BLIND COMPARATIVE TRIAL OF MARAVIROC and DARUNAVIRRITONAVIR VERSUS EMTRICITABINETENOFOVIR and DARUNAVIRRITONAVIR FOR THE TREATMENT OF ANTIRETROVIRAL NA VE HIV INFECTED PATIENTS WITH CCR5 TROPIC HIV 1","",""
35175,"Sanofi Pasteur Inc.",PA,100000000299,4169.18,12/31/2013,"In-kind items and services",21690739,"","","H-030-014  Phase III Primary Prevention H-030-014","",""
35175,"ViiV Healthcare Company",NC,100000005550,2137.50,08/02/2013,"Cash or cash equivalent",106200111,SELZENTRY,"","A MULTICENTER RANDOMIZED DOUBLE BLIND COMPARATIVE TRIAL OF MARAVIROC and DARUNAVIRRITONAVIR VERSUS EMTRICITABINETENOFOVIR and DARUNAVIRRITONAVIR FOR THE TREATMENT OF ANTIRETROVIRAL NA VE HIV INFECTED PATIENTS WITH CCR5 TROPIC HIV 1","",""
35175,"ViiV Healthcare Company",NC,100000005550,1175.62,12/11/2013,"Cash or cash equivalent",106200187,SELZENTRY,"","A MULTICENTER RANDOMIZED BLINDED PLACEBOCONTROLLED STUDY TO EVALUATE THE SAFETY OF MARAVIROC IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS IN HIV1INFECTED SUBJECTS COINFECTED WITH HEPATITIS C ANDOR HEPATITIS B VIRUS","",""
35175,"Sanofi Pasteur Inc.",PA,100000000299,702.34,01/27/2014,"In-kind items and services",182044596,"","","H030014 Phase III Primary Prevention Study Cdiff","",""
35175,"ViiV Healthcare Company",NC,100000005550,656.44,08/22/2013,"Cash or cash equivalent",106200575,TRELAVUE,"","A Phase IIIb randomized openlabel study of the safety and efficacy of dolutegravirabacavirlamivudine once daily compared to atazanavir and ritonavir plus tenofoviremtricitabine once daily in HIV1 infected antiretroviral therapy naive women","",""
35175,"SANOFI PASTEUR BIOLOGICS LLC",MA,100000010771,576.32,03/20/2015,"In-kind items and services",318709476,"","","H-030-014: Phase III Primary Prevention:H-030-014","",""
35175,"Sanofi Pasteur Inc.",PA,100000000299,450.30,10/21/2014,"In-kind items and services",182050620,"","","H030014 Phase III Primary Prevention Study Cdiff","",""
35175,"ViiV Healthcare Company",NC,100000005550,279.06,09/20/2013,"Cash or cash equivalent",106200549,TRELAVUE,"","A Phase IIIb randomized openlabel study of the safety and efficacy of dolutegravirabacavirlamivudine once daily compared to atazanavir and ritonavir plus tenofoviremtricitabine once daily in HIV1 infected antiretroviral therapy naive women","",""
35175,"GlaxoSmithKline, LLC.",NC,100000005449,231.62,07/08/2014,"Cash or cash equivalent",208658904,"","","A phase IIIb, randomized, open label study of the safety, efficacy and tolerability of switching to a fixed dose combination of dolutegravir abacavir lamivudine from current antiretroviral regimen compared to continuation of the current antiretroviral reg","",""
