Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
301491,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,64.99,07/01/2015,"In-kind items and services",318469290,Education,"",ELITEK,"",""
301491,"Celgene Corporation",NJ,100000000343,24.41,10/23/2014,"In-kind items and services",189903692,"Food and Beverage","",Revlimid,Pomalyst,""
301491,"GlaxoSmithKline, LLC.",NC,100000005449,19.79,06/20/2014,"In-kind items and services",197882426,"Food and Beverage","","","",""
301491,"AstraZeneca Pharmaceuticals LP",DE,100000000146,18.71,12/07/2015,"In-kind items and services",256038264,"Food and Beverage","",FASLODEX,"","Informational Meal"
301491,"Eisai Inc.",NJ,100000000136,16.39,01/07/2014,"Cash or cash equivalent",184766596,"Food and Beverage","",Halaven,"",""
301491,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,15.53,09/09/2013,"Cash or cash equivalent",14021018,"Food and Beverage","",ERBITUX,"",""
301491,"NOVARTIS PHARMACEUTICALS CORPORATION",NJ,100000000228,15.00,07/08/2015,"In-kind items and services",263216434,"Food and Beverage","",MEKINIST,TAFINLAR,""
301491,"GlaxoSmithKline, LLC.",NC,100000005449,14.78,01/20/2014,"In-kind items and services",197882428,"Food and Beverage","","","",""
301491,"NOVARTIS PHARMACEUTICALS CORPORATION",NJ,100000000228,14.73,12/16/2015,"In-kind items and services",263216442,"Food and Beverage","",MEKINIST,"SANDOSTATIN LAR",""
301491,"LILLY USA, LLC",IN,100000000066,14.65,10/22/2014,"In-kind items and services",137908936,"Food and Beverage","",ALIMTA,CYRAMZA,""
301491,"Ipsen Biopharmaceuticals, Inc",NJ,100000000123,14.56,04/23/2015,"Cash or cash equivalent",341511187,"Food and Beverage","","Somatuline Depot 120mg-.5ml","",""
301491,"Astellas Pharma US Inc",IL,100000000137,14.47,10/17/2013,"In-kind items and services",111773602,"Food and Beverage","",XTANDI,TARCEVA,""
301491,"Amgen Inc.",CA,100000000203,14.35,03/11/2015,"In-kind items and services",297421886,"Food and Beverage","",Aranesp,Nplate,""
301491,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,14.31,05/07/2014,"In-kind items and services",188618368,"Food and Beverage","",JEVTANA,"",""
301491,"Ipsen Biopharmaceuticals, Inc",NJ,100000000123,14.20,02/04/2015,"Cash or cash equivalent",341503722,"Food and Beverage","","Somatuline Depot 120mg-.5ml","",""
301491,"NOVARTIS PHARMACEUTICALS CORPORATION",NJ,100000000228,14.18,04/22/2015,"In-kind items and services",263216430,"Food and Beverage","","VOTRIENT RCC","",""
301491,"AstraZeneca Pharmaceuticals LP",DE,100000000146,14.12,01/14/2015,"In-kind items and services",256256022,"Food and Beverage","",FASLODEX,"","Informational Meal"
301491,"Medivation Inc.",CA,100000010858,14.07,02/04/2014,"Cash or cash equivalent",221237348,"Food and Beverage","",XTANDI,"",""
301491,"Astellas Pharma US Inc",IL,100000000137,13.71,11/12/2013,"In-kind items and services",111747658,"Food and Beverage","",XTANDI,TARCEVA,""
301491,"NOVARTIS PHARMACEUTICALS CORPORATION",NJ,100000000228,13.56,04/06/2015,"In-kind items and services",263216444,"Food and Beverage","","SANDOSTATIN LAR","",""
301491,"NOVARTIS PHARMACEUTICALS CORPORATION",NJ,100000000228,13.48,05/07/2015,"In-kind items and services",263216428,"Food and Beverage","","SANDOSTATIN LAR","",""
301491,"Celgene Corporation",NJ,100000000343,13.37,01/28/2015,"In-kind items and services",328301004,"Food and Beverage","",Abraxane,"",""
301491,"Celgene Corporation",NJ,100000000343,13.24,09/03/2014,"In-kind items and services",189834714,"Food and Beverage","",Abraxane,"",""
