Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Name_of_Study,Research_Information_Link,Context_of_Research
944296,"Alexion Pharmaceuticals, Inc.",CT,100000005462,1819.00,07/17/2014,"Cash or cash equivalent",215886196,SOLIRIS,"","Safety ond Efficacy of Eculizumab in Refractory Generalized Myashenia Gravis","",""
944296,"Alexion Pharmaceuticals, Inc.",CT,100000005462,1720.00,09/29/2014,"Cash or cash equivalent",215886202,SOLIRIS,"","Safety ond Efficacy of Eculizumab in Refractory Generalized Myashenia Gravis","",""
944296,"Alexion Pharmaceuticals, Inc.",CT,100000005462,1690.00,09/29/2014,"Cash or cash equivalent",215886204,SOLIRIS,"","Safety ond Efficacy of Eculizumab in Refractory Generalized Myashenia Gravis","",""
944296,"Alexion Pharmaceuticals, Inc.",CT,100000005462,1420.00,09/29/2014,"Cash or cash equivalent",215886206,SOLIRIS,"","Safety ond Efficacy of Eculizumab in Refractory Generalized Myashenia Gravis","",""
944296,"Alexion Pharmaceuticals, Inc.",CT,100000005462,1323.00,09/29/2014,"Cash or cash equivalent",215886208,SOLIRIS,"","Safety ond Efficacy of Eculizumab in Refractory Generalized Myashenia Gravis","",""
944296,"Alexion Pharmaceuticals, Inc.",CT,100000005462,1323.00,09/29/2014,"Cash or cash equivalent",215886374,SOLIRIS,"","Safety ond Efficacy of Eculizumab in Refractory Generalized Myashenia Gravis","",""
944296,"Alexion Pharmaceuticals, Inc.",CT,100000005462,1100.00,12/23/2014,"Cash or cash equivalent",215886414,SOLIRIS,"","Safety ond Efficacy of Eculizumab in Refractory Generalized Myashenia Gravis","",""
944296,"Alexion Pharmaceuticals, Inc.",CT,100000005462,998.00,09/29/2014,"Cash or cash equivalent",215886210,SOLIRIS,"","Safety ond Efficacy of Eculizumab in Refractory Generalized Myashenia Gravis","",""
944296,"Alexion Pharmaceuticals, Inc.",CT,100000005462,938.60,07/17/2014,"Cash or cash equivalent",215886198,SOLIRIS,"","Safety ond Efficacy of Eculizumab in Refractory Generalized Myashenia Gravis","",""
944296,"Alexion Pharmaceuticals, Inc.",CT,100000005462,164.00,07/17/2014,"Cash or cash equivalent",215886200,SOLIRIS,"","Safety ond Efficacy of Eculizumab in Refractory Generalized Myashenia Gravis","",""
944296,"Alexion Pharmaceuticals, Inc.",CT,100000005462,101.60,09/29/2014,"Cash or cash equivalent",215886212,SOLIRIS,"","Safety ond Efficacy of Eculizumab in Refractory Generalized Myashenia Gravis","",""
