Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Name_of_Study,Research_Information_Link,Context_of_Research
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1784.25,12/19/2015,"Cash or cash equivalent",336418526,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1784.25,12/19/2015,"Cash or cash equivalent",336418536,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1784.25,12/19/2015,"Cash or cash equivalent",336418562,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1784.25,09/15/2015,"Cash or cash equivalent",336418578,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1784.25,09/15/2015,"Cash or cash equivalent",336418616,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1784.25,09/15/2015,"Cash or cash equivalent",336418628,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1784.25,09/15/2015,"Cash or cash equivalent",336418646,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1784.25,09/15/2015,"Cash or cash equivalent",336418650,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1432.08,09/15/2015,"Cash or cash equivalent",336418586,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1432.08,09/15/2015,"Cash or cash equivalent",336418620,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1432.08,09/15/2015,"Cash or cash equivalent",336418637,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1118.99,09/15/2015,"Cash or cash equivalent",336418454,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1118.99,09/15/2015,"Cash or cash equivalent",336418460,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,1118.99,12/19/2015,"Cash or cash equivalent",336418520,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,999.65,12/19/2015,"Cash or cash equivalent",336418466,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,999.65,12/19/2015,"Cash or cash equivalent",336418558,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,999.65,09/15/2015,"Cash or cash equivalent",336418574,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,999.65,09/15/2015,"Cash or cash equivalent",336418592,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,999.65,09/15/2015,"Cash or cash equivalent",336418640,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,999.65,09/15/2015,"Cash or cash equivalent",336418642,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,999.65,09/15/2015,"Cash or cash equivalent",336418450,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,922.43,09/15/2015,"Cash or cash equivalent",336418456,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,922.43,12/19/2015,"Cash or cash equivalent",336418512,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,922.43,12/19/2015,"Cash or cash equivalent",336418530,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,922.43,09/15/2015,"Cash or cash equivalent",336418594,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,922.43,09/15/2015,"Cash or cash equivalent",336418440,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,09/15/2015,"Cash or cash equivalent",336418458,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,12/19/2015,"Cash or cash equivalent",336418462,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,12/19/2015,"Cash or cash equivalent",336418468,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,12/19/2015,"Cash or cash equivalent",336418550,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,12/19/2015,"Cash or cash equivalent",336418554,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,12/19/2015,"Cash or cash equivalent",336418556,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,09/15/2015,"Cash or cash equivalent",336418600,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,09/15/2015,"Cash or cash equivalent",336418606,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,09/15/2015,"Cash or cash equivalent",336418614,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,09/15/2015,"Cash or cash equivalent",336418626,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,09/15/2015,"Cash or cash equivalent",336418632,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,09/15/2015,"Cash or cash equivalent",336418648,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,887.33,09/15/2015,"Cash or cash equivalent",336418445,"","","Treatment of Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,864.63,12/12/2015,"Cash or cash equivalent",336418508,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,864.63,12/12/2015,"Cash or cash equivalent",336418510,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,819.00,12/12/2015,"Cash or cash equivalent",336418474,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,819.00,12/12/2015,"Cash or cash equivalent",336418478,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,819.00,12/12/2015,"Cash or cash equivalent",336418480,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,819.00,12/12/2015,"Cash or cash equivalent",336418482,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,819.00,12/12/2015,"Cash or cash equivalent",336418486,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,819.00,12/12/2015,"Cash or cash equivalent",336418496,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,819.00,12/12/2015,"Cash or cash equivalent",336418499,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
251998,"Daiichi Sankyo Inc.",NJ,100000000195,819.00,12/12/2015,"Cash or cash equivalent",336418502,"","","An Open-Label Extension Study of DS-5565 for 52 Weeks in Pain Associated With Fibromyalgia","",""
