Physician_Profile_ID,Category,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category,Record_ID
174849,GNRL,"Medtronic USA, Inc.",MN,100000010383,774.00,06/25/2014,GNRL,140711380
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,675.74,01/23/2014,GNRL,152196336
174849,GNRL,"NuVasive, Inc.",CA,100000010655,638.28,06/01/2014,GNRL,174803572
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,539.60,01/24/2014,GNRL,152195860
174849,GNRL,"LDR SPINE USA, INC",TX,100000010603,324.00,03/07/2014,GNRL,224143066
174849,GNRL,"NuVasive, Inc.",CA,100000010655,323.00,06/11/2014,GNRL,174803574
174849,GNRL,"NuVasive, Inc.",CA,100000010655,248.00,06/12/2014,GNRL,174803576
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,201.93,01/24/2014,GNRL,152192038
174849,GNRL,"LDR SPINE USA, INC",TX,100000010603,150.16,03/08/2014,GNRL,217656208
174849,GNRL,"Medtronic USA, Inc.",MN,100000010383,131.14,12/10/2015,GNRL,294935542
174849,GNRL,"Spine Wave, Inc.",CT,100000010549,123.81,04/06/2014,GNRL,214579980
174849,GNRL,"Zimmer Holding Inc",IN,100000000103,122.37,10/07/2013,GNRL,103183100
174849,GNRL,"NuVasive, Inc.",CA,100000010655,119.68,06/26/2014,GNRL,174803582
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,105.57,09/18/2013,GNRL,101222624
174849,GNRL,"NuVasive, Inc.",CA,100000010655,104.40,06/30/2014,GNRL,174803585
174849,GNRL,"Zimmer Biomet Holdings, Inc.",IN,100000000103,85.18,01/16/2015,GNRL,301211182
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,79.67,01/24/2014,GNRL,152183938
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,64.67,01/25/2014,GNRL,152181788
174849,GNRL,"Medtronic USA, Inc.",MN,100000010383,60.72,12/12/2015,GNRL,294935528
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,57.78,01/25/2014,GNRL,152180494
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,53.76,01/24/2014,GNRL,152179614
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,48.79,01/25/2014,GNRL,152178576
174849,GNRL,"Stryker Corporation",MI,100000010503,48.14,05/06/2014,GNRL,207665564
174849,GNRL,"Stryker Corporation",MI,100000010503,44.27,02/25/2015,GNRL,324367620
174849,GNRL,"Stryker Corporation",MI,100000010503,42.37,08/31/2015,GNRL,324380846
174849,GNRL,"LDR SPINE USA, INC",TX,100000010603,35.00,03/07/2014,GNRL,224143062
174849,GNRL,"NuVasive, Inc.",CA,100000010655,34.80,06/26/2014,GNRL,174803588
174849,GNRL,"NuVasive, Inc.",CA,100000010655,32.80,06/30/2014,GNRL,174803592
174849,GNRL,"DePuy Synthes Sales Inc.",MA,100000005615,31.36,06/29/2015,GNRL,267251458
174849,GNRL,"DePuy Synthes Sales Inc.",MA,100000005615,30.82,02/10/2015,GNRL,267251448
174849,GNRL,"NuVasive, Inc.",CA,100000010655,30.00,06/12/2014,GNRL,174803598
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,27.29,01/25/2014,GNRL,152168188
174849,GNRL,"NuVasive, Inc.",CA,100000010655,26.25,06/30/2014,GNRL,174803604
174849,GNRL,"NuVasive, Inc.",CA,100000010655,25.86,02/25/2015,GNRL,281675104
174849,GNRL,"Medtronic USA, Inc.",MN,100000010383,23.98,11/20/2014,GNRL,140711378
174849,GNRL,"NuVasive, Inc.",CA,100000010655,23.30,06/30/2014,GNRL,174803608
174849,GNRL,"NuVasive, Inc.",CA,100000010655,23.00,06/28/2014,GNRL,174803616
174849,GNRL,"NuVasive, Inc.",CA,100000010655,23.00,06/27/2014,GNRL,174803612
174849,GNRL,"Zimmer Holding Inc",IN,100000000103,22.50,10/31/2014,GNRL,216372464
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,22.00,01/25/2014,GNRL,152159888
174849,GNRL,"NuVasive, Inc.",CA,100000010655,21.00,06/27/2014,GNRL,174803620
174849,GNRL,"NuVasive, Inc.",CA,100000010655,21.00,06/27/2014,GNRL,174803624
174849,GNRL,"NuVasive, Inc.",CA,100000010655,21.00,06/28/2014,GNRL,174803628
174849,GNRL,"NuVasive, Inc.",CA,100000010655,21.00,06/28/2014,GNRL,174803630
174849,GNRL,"NuVasive, Inc.",CA,100000010655,20.00,06/27/2014,GNRL,174803634
174849,GNRL,"Zimmer Holding Inc",IN,100000000103,18.07,11/12/2013,GNRL,103183128
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,16.43,09/22/2015,GNRL,298768164
174849,GNRL,"EBI Medical Systems, LLC",NJ,100000005653,16.12,12/05/2013,GNRL,115863096
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,15.66,01/25/2014,GNRL,152143240
174849,GNRL,"Medtronic USA, Inc.",MN,100000010383,12.54,12/10/2015,GNRL,294935534
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,10.57,01/25/2014,GNRL,152126888
174849,GNRL,"NuVasive, Inc.",CA,100000010655,10.00,06/27/2014,GNRL,174803636
174849,GNRL,"NuVasive, Inc.",CA,100000010655,9.60,06/30/2014,GNRL,174803640
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,8.48,04/09/2015,GNRL,298768162
174849,GNRL,"LDR SPINE USA, INC",TX,100000010603,6.41,03/08/2014,GNRL,217656206
174849,GNRL,"LDR SPINE USA, INC",TX,100000010603,5.70,03/08/2014,GNRL,217656200
174849,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,0.67,09/22/2015,GNRL,298768166
