Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
160376,"Zimmer Holding Inc",IN,100000000103,910.00,01/19/2014,"In-kind items and services",216465796,"Travel and Lodging","","","","Travel and lodging provided in the context of a medical training and education program on the safe and effective use of Zimmer products."
160376,"Zimmer Biomet Holdings, Inc.",IN,100000000103,625.93,08/24/2015,"Cash or cash equivalent",301190350,"Travel and Lodging","","","",""
160376,"Zimmer Holding Inc",IN,100000000103,355.80,09/20/2013,"In-kind items and services",103175642,"Travel and Lodging","","","","Travel and lodging provided in the context of a medical training and education program on the safe and effective use of Zimmer products."
160376,"Zimmer Holding Inc",IN,100000000103,268.40,01/19/2014,"In-kind items and services",216458430,"Travel and Lodging","","","","Travel and lodging provided in the context of a medical training and education program on the safe and effective use of Zimmer products."
160376,"Zimmer Biomet Holdings, Inc.",IN,100000000103,149.74,08/24/2015,"Cash or cash equivalent",301190286,"Travel and Lodging","","","",""
160376,"Zimmer Holding Inc",IN,100000000103,141.47,09/20/2013,"In-kind items and services",103176220,"Travel and Lodging","","","","Travel and lodging provided in the context of a medical training and education program on the safe and effective use of Zimmer products."
160376,"Zimmer Holding Inc",IN,100000000103,34.71,09/21/2013,"In-kind items and services",103178830,"Food and Beverage","","","","Food and beverage provided in the context of a Zimmer event or activity related to business meetings and medical training and education on safe and effective use of Zimmer products."
160376,"Zimmer Holding Inc",IN,100000000103,26.75,09/21/2013,"In-kind items and services",103179110,"Food and Beverage","","","","Food and beverage provided in the context of a Zimmer event or activity related to business meetings and medical training and education on safe and effective use of Zimmer products."
160376,"Zimmer Holding Inc",IN,100000000103,23.90,09/21/2013,"In-kind items and services",103179222,"Travel and Lodging","","","","Travel and lodging provided in the context of a medical training and education program on the safe and effective use of Zimmer products."
160376,"Ferring Pharmaceuticals Inc.",NJ,100000000309,13.36,10/17/2013,"In-kind items and services",21666834,"Food and Beverage","","","",""
160376,"Ferring Pharmaceuticals Inc.",NJ,100000000309,13.36,11/18/2014,"In-kind items and services",192251066,"Food and Beverage","","","",""
160376,"Ferring Pharmaceuticals Inc.",NJ,100000000309,13.36,03/02/2015,"In-kind items and services",317515100,"Food and Beverage","","","",""
160376,"Ferring Pharmaceuticals Inc.",NJ,100000000309,13.36,08/05/2015,"In-kind items and services",317515102,"Food and Beverage","","","",""
160376,"Ferring Pharmaceuticals Inc.",NJ,100000000309,13.36,10/05/2015,"In-kind items and services",317515104,"Food and Beverage","","","",""
160376,"Ferring Pharmaceuticals Inc.",NJ,100000000309,11.85,04/28/2014,"In-kind items and services",192251060,"Food and Beverage","","","",""
160376,"Zimmer Holding Inc",IN,100000000103,10.70,09/21/2013,"In-kind items and services",103180256,"Food and Beverage","","","","Food and beverage provided in the context of a Zimmer event or activity related to business meetings and medical training and education on safe and effective use of Zimmer products."
