Physician_Profile_ID,Category,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category,Record_ID
296041,GNRL,"Medtronic USA, Inc.",MN,100000010383,860.64,02/06/2015,GNRL,294934242
296041,GNRL,"Biogen, Inc.",MA,100000000193,110.24,02/23/2015,GNRL,320857848
296041,GNRL,"Medtronic USA, Inc.",MN,100000010383,91.45,05/08/2015,GNRL,294934248
296041,GNRL,"Medtronic USA, Inc.",MN,100000010383,72.81,02/11/2015,GNRL,294934232
296041,GNRL,"Biogen Idec Inc.",MA,100000000193,72.09,04/14/2014,GNRL,204403582
296041,GNRL,"US WorldMeds, LLC",KY,100000000354,64.28,09/14/2015,GNRL,333587384
296041,GNRL,"GENZYME CORPORATION",MA,100000000297,61.79,04/09/2014,GNRL,188523852
296041,GNRL,"Medtronic USA, Inc.",MN,100000010383,59.50,03/12/2015,GNRL,294934238
296041,GNRL,"Lundbeck LLC",IL,100000000236,43.43,01/29/2015,GNRL,294053412
296041,GNRL,"Biogen Idec Inc.",MA,100000000193,29.57,08/14/2013,GNRL,102664558
296041,GNRL,"Questcor Pharmaceuticals",CA,100000010569,21.07,12/19/2013,GNRL,30059851
296041,GNRL,"Sunovion Pharmaceuticals Inc.",MA,100000000254,20.29,04/14/2015,GNRL,321114442
296041,GNRL,"Biogen, Inc.",MA,100000000193,18.99,05/29/2015,GNRL,320857854
296041,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,16.43,09/22/2015,GNRL,298767590
296041,GNRL,"Biogen, Inc.",MA,100000000193,15.64,07/13/2015,GNRL,320857860
296041,GNRL,"GENZYME CORPORATION",MA,100000000297,15.26,05/21/2015,GNRL,319363258
296041,GNRL,"AbbVie, Inc.",IL,100000000204,14.92,03/06/2015,GNRL,309204518
296041,GNRL,"GENZYME CORPORATION",MA,100000000297,14.51,06/30/2015,GNRL,318765521
296041,GNRL,"Biogen Idec Inc.",MA,100000000193,13.69,11/07/2013,GNRL,102664556
296041,GNRL,"Sunovion Pharmaceuticals Inc.",MA,100000000254,11.56,12/21/2015,GNRL,321114452
296041,GNRL,"Teva Pharmaceuticals USA, Inc.",PA,100000000141,11.41,10/31/2013,GNRL,102195570
296041,GNRL,"Pfizer Inc.",NY,100000000286,11.09,10/08/2015,GNRL,323634002
296041,GNRL,"Pfizer Inc.",NY,100000000286,10.35,06/17/2015,GNRL,322957440
296041,GNRL,"Medtronic Sofamor Danek USA, Inc.",MN,100000010386,0.67,09/22/2015,GNRL,298767592
