Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
1196286,"Biomet Microfixation, LLC",FL,100000005651,633.64,11/03/2014,"In-kind items and services",194603572,"Travel and Lodging","","","",""
1196286,"Biomet Microfixation, LLC",FL,100000005651,535.88,10/31/2014,"In-kind items and services",194603562,"Travel and Lodging","","","",""
1196286,"Biomet Microfixation, LLC",FL,100000005651,148.35,11/15/2014,"In-kind items and services",194603608,"Travel and Lodging","","","",""
1196286,"Biomet Microfixation, LLC",FL,100000005651,148.35,11/16/2014,"In-kind items and services",194603595,"Travel and Lodging","","","",""
1196286,"Biomet Microfixation, LLC",FL,100000005651,77.26,11/17/2014,"In-kind items and services",194603588,"Travel and Lodging","","","",""
1196286,"Biomet Microfixation, LLC",FL,100000005651,77.26,11/17/2014,"In-kind items and services",194603648,"Travel and Lodging","","","",""
1196286,"Biomet Microfixation, LLC",FL,100000005651,67.25,11/17/2014,"In-kind items and services",194603583,"Travel and Lodging","","","",""
1196286,"Biomet Microfixation, LLC",FL,100000005651,32.22,11/17/2014,"In-kind items and services",194603638,"Food and Beverage","","","",""
1196286,"Biomet Microfixation, LLC",FL,100000005651,25.90,11/17/2014,"In-kind items and services",194603632,"Food and Beverage","","","",""
1196286,"Biomet Microfixation, LLC",FL,100000005651,5.00,11/03/2014,"In-kind items and services",194603554,"Travel and Lodging","","","",""
1196286,"Biomet Microfixation, LLC",FL,100000005651,5.00,10/31/2014,"In-kind items and services",194603576,"Travel and Lodging","","","",""
