Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
1020522,"Janssen Pharmaceuticals, Inc",NJ,100000000232,74.99,11/05/2014,"In-kind items and services",156856860,Education,"",Xarelto,"","Medical Textbook"
1020522,"Janssen Pharmaceuticals, Inc",NJ,100000000232,74.99,06/17/2014,"In-kind items and services",156856858,Education,"",Invokana,"","Medical Textbook"
1020522,"Otsuka America Pharmaceutical, Inc.",MD,100000010723,69.00,10/11/2013,"In-kind items and services",31981899,Education,"","ABILIFY TABLET","",""
1020522,"Takeda Pharmaceuticals America, Inc.",IL,100000000339,69.00,10/31/2014,"In-kind items and services",194730730,Education,"",Brintellix,"",""
1020522,"Takeda Pharmaceuticals America, Inc.",IL,100000000339,69.00,02/19/2015,"In-kind items and services",336886702,Education,"",Brintellix,"",""
1020522,"Novo Nordisk Inc",NJ,100000000144,24.92,03/28/2014,"In-kind items and services",162196148,"Food and Beverage","",Victoza,"",""
1020522,"AstraZeneca Pharmaceuticals LP",DE,100000000146,22.94,02/14/2014,"In-kind items and services",149427516,"Food and Beverage","",FARXIGA,"","Informational Meal"
1020522,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,21.39,11/13/2014,"In-kind items and services",196636798,"Food and Beverage","",Pradaxa,"",""
1020522,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,18.23,05/09/2014,"In-kind items and services",196636796,"Food and Beverage","",PRADAXA,"",""
1020522,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,15.37,03/24/2015,"In-kind items and services",290778500,"Food and Beverage","",SPIRIVA,"SPIRIVA RESPIMAT",""
1020522,"Takeda Pharmaceuticals America, Inc.",IL,100000000339,15.23,04/23/2014,"In-kind items and services",194730732,"Food and Beverage","",BRINTELLIX,"",""
1020522,"Merck Sharp & Dohme Corporation",NJ,100000000053,14.25,07/31/2014,"In-kind items and services",202638284,Education,"",Non-Product,"",""
1020522,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,12.24,01/10/2014,"In-kind items and services",147795496,"Food and Beverage","",FETZIMA,VIIBRYD,""
1020522,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,10.98,08/23/2013,"In-kind items and services",6790097,"Food and Beverage","",LINZESS,"",""
