Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
121442,"Johnson & Johnson Vision Care, Inc.",FL,100000005397,334.23,09/29/2015,"In-kind items and services",269359782,"Travel and Lodging","","","","Related to bonafide consulting activity"
121442,"Johnson & Johnson Vision Care, Inc.",FL,100000005397,255.00,09/29/2015,"In-kind items and services",269359786,"Food and Beverage","","","",""
121442,"Allergan Inc.",CA,100000000278,125.91,11/03/2015,"In-kind items and services",289800490,"Food and Beverage","",RESTASIS,"",""
121442,"Allergan Inc.",CA,100000000278,124.94,09/11/2013,"In-kind items and services",102646970,"Food and Beverage","",RESTASIS,"",""
121442,"Allergan Inc.",CA,100000000278,124.94,01/14/2014,"In-kind items and services",192440450,"Food and Beverage","",RESTASIS,"",""
121442,"Alcon Laboratories Inc",TX,100000005405,120.23,12/11/2013,"In-kind items and services",23036816,"Food and Beverage","","","",""
121442,"Alcon Laboratories Inc",TX,100000005405,101.24,07/29/2014,"In-kind items and services",167487038,"Food and Beverage","","","",""
121442,"Alcon Laboratories Inc",TX,100000005405,98.17,08/19/2013,"In-kind items and services",23037983,"Food and Beverage","","","",""
121442,"Johnson & Johnson Vision Care, Inc.",FL,100000005397,97.29,09/24/2015,"In-kind items and services",269359784,"Food and Beverage","","","",""
121442,"Valeant Pharmaceuticals North America LLC",NJ,100000010935,72.08,05/14/2015,"Cash or cash equivalent",295634384,"Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program","","","",""
121442,"Alcon Laboratories Inc",TX,100000005405,68.14,03/05/2014,"In-kind items and services",167487048,"Food and Beverage","","","",""
121442,"Valeant Pharmaceuticals North America LLC",NJ,100000010935,59.59,10/30/2015,"In-kind items and services",295634394,"Food and Beverage","","","",""
121442,"Alcon Laboratories Inc",TX,100000005405,52.10,04/13/2015,"In-kind items and services",315177154,"Food and Beverage","","","",""
121442,"Johnson & Johnson Vision Care, Inc.",FL,100000005397,49.71,12/01/2015,"In-kind items and services",269359788,"Food and Beverage","","","",""
121442,"Alcon Laboratories Inc",TX,100000005405,44.03,06/17/2014,"In-kind items and services",167487058,"Food and Beverage","","","",""
121442,"Alcon Laboratories Inc",TX,100000005405,24.09,06/11/2014,"In-kind items and services",167487056,"Food and Beverage","","","",""
121442,"CooperVision Inc.",NY,100000005728,23.89,06/10/2014,"In-kind items and services",169241136,"Food and Beverage","","","",""
121442,"Alcon Laboratories Inc",TX,100000005405,23.25,02/03/2014,"In-kind items and services",167487031,"Food and Beverage","","","",""
121442,"Alcon Laboratories Inc",TX,100000005405,22.80,04/14/2015,"In-kind items and services",315177142,"Food and Beverage","","","",""
121442,"Valeant Pharmaceuticals North America LLC",NJ,100000010935,22.37,02/27/2015,"In-kind items and services",295634372,"Food and Beverage","","","",""
121442,"Allergan Inc.",CA,100000000278,21.55,10/21/2014,"In-kind items and services",198176134,"Food and Beverage","",RESTASIS,"",""
121442,"Johnson & Johnson Vision Care, Inc.",FL,100000005397,21.50,07/21/2015,"In-kind items and services",269359796,"Food and Beverage","","","",""
121442,"Johnson & Johnson Vision Care, Inc.",FL,100000005397,21.50,09/15/2015,"In-kind items and services",269359798,"Food and Beverage","","","",""
121442,"Valeant Pharmaceuticals North America LLC",NJ,100000010935,20.72,04/21/2015,"In-kind items and services",295634376,"Food and Beverage","",PROLENSA,ALREX,""
121442,"Johnson & Johnson Vision Care, Inc.",FL,100000005397,20.23,01/31/2014,"In-kind items and services",124156685,"Food and Beverage","","","",""
121442,"Allergan Inc.",CA,100000000278,20.00,10/13/2015,"In-kind items and services",288841838,"Food and Beverage","",RESTASIS,"",""
121442,"Alcon Laboratories Inc",TX,100000005405,19.62,02/25/2015,"In-kind items and services",315083200,"Food and Beverage","","","",""
121442,"Johnson & Johnson Vision Care, Inc.",FL,100000005397,19.04,11/14/2013,"In-kind items and services",100646718,"Food and Beverage","","","",""
