Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Nature_of_Payment_or_Transfer_of_Value,Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Contextual_Information
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,1250.00,09/08/2014,"Cash or cash equivalent",147431000,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",SAPHRIS,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,1250.00,12/04/2014,"Cash or cash equivalent",147430944,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",SAPHRIS,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,200.00,06/30/2014,"Cash or cash equivalent",147430940,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","",SAPHRIS,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,77.57,09/08/2014,"In-kind items and services",147430996,"Food and Beverage","",SAPHRIS,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,63.89,12/04/2014,"In-kind items and services",147430992,"Food and Beverage","",SAPHRIS,"",""
238532,"Genentech USA, Inc.",CA,100000000226,58.10,10/01/2013,"In-kind items and services",174458780,"Food and Beverage","","","",""
238532,"AbbVie, Inc.",IL,100000000204,19.19,08/06/2014,"In-kind items and services",189440728,"Food and Beverage","",Depakote,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,17.93,02/26/2014,"In-kind items and services",147430916,"Food and Beverage","",VIIBRYD,FETZIMA,""
238532,"Avanir Pharmaceuticals, Inc.",CA,100000005729,14.36,08/14/2013,"In-kind items and services",101776082,"Food and Beverage","",Nuedexta,"",""
238532,"AbbVie, Inc.",IL,100000000204,12.17,09/24/2014,"In-kind items and services",189517558,"Food and Beverage","",Depakote,"",""
238532,"Pfizer Inc.",NY,100000000286,11.89,10/31/2013,"In-kind items and services",205766216,"Food and Beverage","","QUILLIVANT XR","",""
238532,"Pfizer Inc.",NY,100000000286,10.79,07/16/2014,"In-kind items and services",207339552,"Food and Beverage","","QUILLIVANT XR","",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,10.65,12/12/2013,"In-kind items and services",6740355,"Food and Beverage","",VIIBRYD,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,10.34,03/25/2014,"In-kind items and services",147430934,"Food and Beverage","",SAPHRIS,"",""
238532,"LILLY USA, LLC",IN,100000000066,10.33,06/11/2014,"In-kind items and services",137642338,"Food and Beverage","",STRATTERA,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,10.25,06/03/2014,"In-kind items and services",147430928,"Food and Beverage","",SAPHRIS,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,9.43,12/16/2014,"In-kind items and services",147430986,"Food and Beverage","",SAPHRIS,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,9.00,08/19/2014,"In-kind items and services",147430981,"Food and Beverage","",SAPHRIS,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,8.69,06/12/2014,"In-kind items and services",147430908,"Food and Beverage","",FETZIMA,VIIBRYD,""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,7.65,05/08/2014,"In-kind items and services",147430904,"Food and Beverage","",VIIBRYD,FETZIMA,""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,7.63,04/10/2014,"In-kind items and services",147430899,"Food and Beverage","",FETZIMA,VIIBRYD,""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,7.51,09/11/2014,"In-kind items and services",147430976,"Food and Beverage","",SAPHRIS,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,6.91,03/19/2014,"In-kind items and services",147430894,"Food and Beverage","",FETZIMA,VIIBRYD,""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,3.84,04/18/2014,"In-kind items and services",147430924,"Food and Beverage","",SAPHRIS,"",""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,3.76,12/18/2014,"In-kind items and services",147430956,"Food and Beverage","",FETZIMA,VIIBRYD,""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,3.13,11/25/2014,"In-kind items and services",147430952,"Food and Beverage","",FETZIMA,VIIBRYD,""
238532,"FOREST PHARMACEUTICALS, INC.",NJ,100000005529,3.13,10/29/2014,"In-kind items and services",147430970,"Food and Beverage","",SAPHRIS,"",""
