word,count
we,50
iowa,33
i,20
it,19
us,15
all,13
future,12
you,12
today,11
path,9
water quality,9
public,9
schools,8
iowans,8
energy,7
funding,7
over,7
growth,7
justice system,7
criminal,7
jobs,6
session,6
economic,6
leader,6
school infrastructure,6
renewable,6
here,5
together,5
time,5
significant,5
medicaid,5
government,5
workforce,4
minor,4
they,4
nation,4
education,4
most,4
justice,4
first,4
investment,4
stable,4
new,4
juvenile,4
other,4
opportunities,3
same,3
implement,3
certainty,3
iowa families,3
revenue,3
initiative,3
better,3
apprenticeships,3
joe,3
2010,3
children,3
governor,3
leadership,3
local,3
opportunity,3
ethanol,3
friend,3
rights,3
home,3
right,3
naacp,3
group,3
efforts,3
cases,3
protect,3
serious,3
me,3
bold,2
private,2
world,2
partners,2
innovative,2
economy,2
discipline,2
water,2
last,2
many,2
vision,2
fund,2
current,2
proposal,2
10 million,2
he,2
two,2
reduction,2
clear,2
disclosure,2
passion,2
reliable,2
order,2
skills gap,2
history,2
employers,2
ready,2
high,2
school,2
years,2
done,2
registered apprenticeships,2
national,2
success,2
families,2
individuals,2
job,2
skills,2
predictable,2
last year,2
goal,2
results,2
students,2
middle,2
unemployment,2
good,2
one,2
advance,2
educators,2
additional,2
policies,2
total,2
32 billion,2
wind,2
electric,2
any other state,2
renewables,2
welcome,2
decisions,2
there,2
constituents,2
legislative,2
bright,2
invited,2
sincere,2
disparities,2
betty,2
equitable,2
taxes,2
taxpayers,2
fiscal,2
person,2
action,2
executive,2
branch,2
people,2
incarcerated,2
crime,2
careers,2
racial,2
fair,2
confidentiality,2
delinquency records,2
records,2
life,2
19,1
jack,1
stability,1
predictability,1
funding they,1
officials,1
pre k-12 funding,1
145 million,1
iowa family incomes,1
third,1
installment,1
extraordinary,1
commitment,1
teacher leadership,1
compensation,1
12 billion,1
pre k-12 education,1
personal,1
dollars,1
level,1
capital,1
possible,1
tough,1
bi partisan fashion,1
supplemental,1
guests,1
physical,1
digital,1
education officials,1
infrastructure,1
critical,1
source,1
k-12 education funding,1
presented,1
false choice,1
family,1
nothing,1
different,1
chart,1
last week,1
important,1
pleased,1
substantial,1
great,1
framework,1
announcement,1
southeast polk,1
education leaders,1
ladies,1
iowa farmer,1
iowa corn grower,1
gentlemen,1
boone school board president,1
co chair,1
fellow iowans,1
task,1
lt gov,1
past,1
1980,1
agriculture,1
business leaders,1
key,1
solution,1
engine,1
iowa taxpayers,1
secure,1
advanced,1
morning,1
willingness,1
law expires,1
inception,1
infrastructure funding,1
annual,1
458 million this year to 788 million,1
207 billion,1
portion,1
commence,1
annually,1
billion,1
period,1
year or 100 million,1
1983,1
decade,1
top,1
monumental,1
education funding,1
condition,1
rich,1
soil,1
abundant,1
blessed,1
resources,1
positive,1
2001,1
position,1
nutrient,1
strategy,1
them,1
strength,1
sources,1
pollution,1
steeper,1
fabric,1
2009,1
against,1
rural,1
water quality efforts,1
prosperity,1
people we,1
5,1
water resources,1
2016,1
sound,1
signs,1
available,1
upcoming,1
regents institutions,1
community colleges,1
colleges,1
unions,1
present,1
unique,1
close,1
practices,1
2020,1
iowa goal,1
beyond,1
2029,1
year 2025,1
100000,1
align,1
development efforts,1
back,1
skilled iowa,1
months,1
veterans,1
bipartisan,1
tackle,1
3rd,1
eastern,1
apprenticeship,1
prosperous,1
community college,1
year,1
leveraged,1
avian influenza,1
lower,1
owner,1
operator,1
restaurant,1
davenport,1
wife,1
michelle,1
commodity prices,1
increasingly,1
competitive,1
214000,1
example,1
power,1
47,1
talent,1
pipeline,1
generous,1
iowa students,1
quality,1
programs,1
still,1
advisory council,1
sure,1
cash,1
norwalk,1
west,1
co chairs,1
robust,1
fact,1
council recommendation inspired,1
move students,1
21st century,1
expected,1
science course,1
2018-19,1
school students,1
emergency,1
exploratory unit,1
tremendous,1
effective,1
career guidance,1
k-12 system,1
madam lieutenant governor,1
teachers,1
counselors,1
school leaders,1
career information,1
items,1
curriculum,1
conversations,1
community,1
productive,1
partnerships,1
business,1
non profit communities,1
full,1
industries,1
poised,1
money,1
chemicals,1
tax,1
neutral,1
madam president,1
energies,1
biodiesel,1
standard,1
signed it,1
law,1
dependent,1
coal,1
electricity,1
foreign,1
oil,1
motor fuel,1
consume,1
gasoline,1
consumers,1
choices,1
investments,1
technologies,1
cellulosic,1
plants,1
emmetsburg,1
nevada,1
generation,1
thin,1
country,1
solar,1
power generation,1
madam speaker,1
attractive,1
resource,1
number,1
accomplishments,1
patient,1
clean,1
statewide effort—and,1
iowa partnership,1
input,1
business community,1
variety,1
federal,1
health,1
priorities,1
assessment,1
energy capacities,1
goals,1
strategies,1
development,1
companies,1
invested,1
located,1
coordination,1
major,1
wind power,1
far,1
ahead,1
extension,1
wind investments,1
green,1
services,1
powers job growth,1
wind turbine,1
income,1
farmers,1
governments,1
esteemed colleague,1
foundation,1
greener,1
flag,1
emblazoned,1
motto,1
liberties,1
justices,1
1700,1
most other,1
thing,1
citizens,1
states,1
panel,1
iowa summit,1
legislators,1
half,1
consume virtually,1
president,1
chapter,1
nebraska,1
summit,1
formation,1
bi partisan,1
revenue growth,1
justice policy,1
tasked,1
policy recommendations,1
representatives,1
respected,1
advocacy,1
others,1
fundamental,1
fairness,1
system,1
worthy,1
fairer,1
aligns,1
businesses,1
tax dollars,1
spent,1
rehabilitation,1
incarceration,1
committed crimes,1
crimes,1
punished,1
penalties,1
punishment,1
race,1
role,1
this year,1
three,1
branches,1
five years ago,1
defender,1
wrongful,1
convictions,1
innocent,1
crafted,1
lowest,1
safety,1
responsible,1
committed,1
prison population,1
recidivism,1
collaboration,1
parole board,1
aisle,1
focused,1
corrections system,1
skills they,1
cautious,1
eye,1
release,1
institutions,1
dramatically,1
phone fees,1
recommended,1
communications,1
inmates,1
released,1
chief,1
optimism,1
evident,1
addition,1
courts,1
jury selection,1
diversity,1
jury panels,1
assure,1
trial,1
family members,1
human,1
combat,1
domestic,1
violence,1
funding model,1
drug,1
recommendation,1
balanced,1
fits,1
circumstances,1
five year,1
even,1
projections,1
theft,1
drug possession,1
haunted,1
mistake,1
employed,1
college,1
apartment,1
military,1
neighbors,1
poor,1
young,1
roadblocks,1
entire,1
career success,1
impacted iowans,1
lifelong,1
barrier,1
successful,1
career,1
confidential,1
interest,1
child,1
discretion,1
offenses,1
86th,1
forge,1
historic,1
exponential,1
energy sector,1
society,1
courageous,1
god,1
